start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
39.61	24.47	39.61	24.47	1977967	1983303
39.61	24.47	39.61	24.47	1983303	1983304
39.61	24.47	39.61	24.47	1983304	1988029
39.61	24.47	36.3	33.513056	1988029	1988052
36.3	33.513056	36.3	33.513056	1988052	1989183
36.3	33.513056	39.61	24.47	1989183	1989206
39.61	24.47	39.61	24.47	1989206	1994625
39.61	24.47	39.61	24.47	1994625	1994626
39.61	24.47	39.61	24.47	1994626	1999716
39.61	24.47	44.375278	33.315278	1999716	1999740
44.375278	33.315278	44.375278	33.315278	1999740	2000101
44.375278	33.315278	44.4	32.03	2000101	2000105
44.4	32.03	44.4	32.03	2000105	2000467
44.4	32.03	44.033333	32.616667	2000467	2000470
44.033333	32.616667	44.033333	32.616667	2000470	2000863
44.033333	32.616667	44.333333	32	2000863	2000866
44.333333	32	44.333333	32	2000866	2001186
44.333333	32	39.61	24.47	2001186	2001208
39.61	24.47	39.61	24.47	2001208	2001238
