ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
アブド・アッラー・イブン・アル＝ズバイル	Abd Allah ibn al-Zubayr	39.61	24.47	39.61	24.47	1949489	1953941
アブド・アッラー・イブン・アル＝ズバイル	Abd Allah ibn al-Zubayr	39.61	24.47	35.5734	32.6401	1953941	1953963
アブド・アッラー・イブン・アル＝ズバイル	Abd Allah ibn al-Zubayr	35.5734	32.6401	35.5734	32.6401	1953963	1955526
アブド・アッラー・イブン・アル＝ズバイル	Abd Allah ibn al-Zubayr	35.5734	32.6401	30	27	1955526	1955545
アブド・アッラー・イブン・アル＝ズバイル	Abd Allah ibn al-Zubayr	30	27	30	27	1955545	1957689
アブド・アッラー・イブン・アル＝ズバイル	Abd Allah ibn al-Zubayr	30	27	10	28	1957689	1957737
アブド・アッラー・イブン・アル＝ズバイル	Abd Allah ibn al-Zubayr	10	28	10	28	1957737	1958732
アブド・アッラー・イブン・アル＝ズバイル	Abd Allah ibn al-Zubayr	10	28	52.9094	29.9808	1958732	1958833
アブド・アッラー・イブン・アル＝ズバイル	Abd Allah ibn al-Zubayr	52.9094	29.9808	52.9094	29.9808	1958833	1970849
アブド・アッラー・イブン・アル＝ズバイル	Abd Allah ibn al-Zubayr	52.9094	29.9808	39.8261	21.4225	1970849	1970886
アブド・アッラー・イブン・アル＝ズバイル	Abd Allah ibn al-Zubayr	39.8261	21.4225	39.8261	21.4225	1970886	1974476
アブド・アッラー・イブン・アル＝ズバイル	Abd Allah ibn al-Zubayr	39.8261	21.4225	39.8261	21.4225	1974476	1974477
アブド・アッラー・イブン・アル＝ズバイル	Abd Allah ibn al-Zubayr	39.8261	21.4225	39.8261	21.4225	1974477	1974507
