start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
39.8261	21.4225	39.8261	21.4225	1942397	1949434
39.8261	21.4225	38.7667	23.7333	1949434	1949441
38.7667	23.7333	38.7667	23.7333	1949441	1949812
38.7667	23.7333	39.6167	24.5	1949812	1949816
39.6167	24.5	39.6167	24.5	1949816	1950431
39.6167	24.5	39.61	24.47	1950431	1950432
39.61	24.47	39.61	24.47	1950432	1950881
39.61	24.47	39.8261	21.4225	1950881	1950889
39.8261	21.4225	39.8261	21.4225	1950889	1951381
39.8261	21.4225	35.7	31.0667	1951381	1951406
35.7	31.0667	35.7	31.0667	1951406	1951533
35.7	31.0667	39.8261	21.4225	1951533	1951558
39.8261	21.4225	39.8261	21.4225	1951558	1951617
39.8261	21.4225	40.35	21.4333	1951617	1951619
40.35	21.4333	40.35	21.4333	1951619	1951813
40.35	21.4333	36.5794	28.3932	1951813	1951832
36.5794	28.3932	36.5794	28.3932	1951832	1952245
36.5794	28.3932	41.6833	27.5167	1952245	1952258
41.6833	27.5167	41.6833	27.5167	1952258	1952531
41.6833	27.5167	41.6833	27.5167	1952531	1952532
41.6833	27.5167	41.6833	27.5167	1952532	1952610
41.6833	27.5167	46.4566	24.8867	1952610	1952624
46.4566	24.8867	46.4566	24.8867	1952624	1952733
46.4566	24.8867	47.6713	29.3929	1952733	1952745
47.6713	29.3929	47.6713	29.3929	1952745	1952767
47.6713	29.3929	44.83	31.5	1952767	1952776
44.83	31.5	44.83	31.5	1952776	1952804
44.83	31.5	44.5697	31.6178	1952804	1952806
44.5697	31.6178	44.5697	31.6178	1952806	1953014
44.5697	31.6178	43.7833	33.355	1953014	1953019
43.7833	33.355	43.7833	33.355	1953019	1953180
43.7833	33.355	34.8983	31.6053	1953180	1953202
34.8983	31.6053	34.8983	31.6053	1953202	1952984
34.8983	31.6053	36.4806	32.5183	1952984	1952989
36.4806	32.5183	36.4806	32.5183	1952989	1953260
36.4806	32.5183	36.2919	33.5131	1953260	1953263
36.2919	33.5131	36.2919	33.5131	1953263	1953257
36.2919	33.5131	36.24	35.6	1953257	1953263
36.24	35.6	36.24	35.6	1953263	1953970
36.24	35.6	35.5734	32.6401	1953970	1953978
35.5734	32.6401	35.5734	32.6401	1953978	1954077
35.5734	32.6401	36.7094	34.7308	1954077	1954084
36.7094	34.7308	36.7094	34.7308	1954084	1954079
36.7094	34.7308	37.16	36.2	1954079	1954084
37.16	36.2	37.16	36.2	1954084	1954079
37.16	36.2	36.7094	34.7308	1954079	1954084
36.7094	34.7308	36.7094	34.7308	1954084	1955520
36.7094	34.7308	30	27	1955520	1955545
30	27	30	27	1955545	1967937
30	27	39.8261	21.4225	1967937	1967964
39.8261	21.4225	39.8261	21.4225	1967964	1967994
