ja-JP	latitude	longitude	overall_length	first_julian_day	last_julian_day	texture
突線鈕式	35.04565428	135.8530408	550	1724712	1794109	Dotaku4
	34.96066315	135.9056892	505			Dotaku
突線鈕式	33.98912826	134.5259718	483	1724712	1794109	Dotaku4
突線鈕5式	35.0722	136.0419	449	1779499	1794109	Dotaku4
突線鈕5式	34.61439945	137.1473325	413	1779499	1794109	Dotaku4
突線鈕4式	34.76883	136.12992	413	1764889	1779499	Dotaku4
突線鈕5式	34.7189	137.5317	400	1779499	1794109	Dotaku4
突線鈕5式	33.6878	135.4114	400	1779499	1794109	Dotaku4
突線鈕5式	35.0061	138.9069	394	1779499	1794109	Dotaku4
突線鈕5式			388	1779499	1794109	Dotaku4
突線鈕式	34.69	135.1833	384	1724712	1794109	Dotaku4
突線鈕4式	33.49471353	133.9353892	383	1764889	1779499	Dotaku4
突線鈕4式			382	1764889	1779499	Dotaku4
突線鈕4式	33.8059705	135.3227147	379	1764889	1779499	Dotaku4
突線鈕5式	34.61439945	137.1473325	373	1779499	1794109	Dotaku4
突線鈕5式	35.39173689	137.1270631	370	1779499	1794109	Dotaku4
突線鈕5式	33.9133	135.175	369	1779499	1794109	Dotaku4
突線鈕4式	34.9953	134.4444	368	1764889	1779499	Dotaku4
突線鈕4式			368	1764889	1779499	Dotaku4
突線鈕4式	34.85756101	135.6169888	363	1764889	1779499	Dotaku4
突線鈕4式	33.7519	135.3986	363	1764889	1779499	Dotaku4
突線鈕5式	34.8172	135.41	359	1779499	1794109	Dotaku4
突線鈕5式	35.52431244	135.0820896	357	1779499	1794109	Dotaku4
突線鈕4式	34.66769988	136.1993515	356	1764889	1779499	Dotaku4
突線鈕5式	35.18513751	136.8994814	353	1779499	1794109	Dotaku4
突線鈕4式	34.97408721	135.8974862	345	1764889	1779499	Dotaku4
突線鈕4式			345	1764889	1779499	Dotaku4
突線鈕5式	33.8081	135.3253	335	1779499	1794109	Dotaku4
突線鈕5式	35.4656	134.7422	333	1779499	1794109	Dotaku6
突線鈕4式	35.0025	134.56	333	1764889	1779499	Dotaku4
突線鈕式	35.1556	134.4658	333	1724712	1794109	Dotaku6
突線鈕5式	33.8059705	135.3227147	333	1779499	1794109	Dotaku4
突線鈕式			333	1724712	1794109	Dotaku4
突線鈕3式	35.10976976	137.2057437	327	1750279	1764889	Dotaku5
突線鈕4式	33.92556964	135.1353291	326	1764889	1779499	Dotaku4
突線鈕5式	34.06084495	134.4678947	326	1779499	1794109	Dotaku4
突線鈕4式	34.8158	137.5306	322	1764889	1779499	Dotaku4
突線鈕4式	34.8125	137.5228	320	1764889	1779499	Dotaku4
突線鈕4	34.15870382	134.493535	310	1764889	1779499	Dotaku4
突線鈕4式	34.95063878	135.8905041	303	1764889	1779499	Dotaku4
突線鈕式	33.99004508	134.5050183	303	1724712	1794109	Dotaku4
突線鈕3式	34.49848931	136.7159627	303	1750279	1764889	Dotaku4
突線鈕式	34.6847	135.8339	300	1724712	1794109	Dotaku4
突線鈕式	35.10714827	133.9182588	300	1724712	1794109	Dotaku6
突線鈕4式	34.5397	135.6058	298	1764889	1779499	Dotaku4
突線鈕4式	34.2531	135.2186	293	1764889	1779499	Dotaku4
突線鈕3式	34.84064025	137.3337429	293	1750279	1764889	Dotaku5
突線鈕4式	34.5136	135.4753	288	1764889	1779499	Dotaku4
突線鈕3式	34.8272	135.4703	285	1750279	1764889	Dotaku4
突線鈕3式	33.92	135.1544	282	1750279	1764889	Dotaku4
突線鈕3式			282	1750279	1764889	Dotaku4
突線鈕3式	35.11526768	136.9490361	277	1750279	1764889	Dotaku5
突線鈕3式	33.92	135.1544	274	1750279	1764889	Dotaku4
突線鈕4式	34.7864	137.3383	272	1764889	1779499	Dotaku5
突線鈕3式	34.7156	137.7722	271	1750279	1764889	Dotaku5
突線鈕4式	34.7864	137.3383	270	1764889	1779499	Dotaku5
突線鈕3式	35.0722	136.0419	269	1750279	1764889	Dotaku5
突線鈕3式			265	1750279	1764889	Dotaku5
突線鈕3式	35.0722	136.0419	262	1750279	1764889	Dotaku5
突線鈕3式	34.8253	137.8589	257	1750279	1764889	Dotaku5
突線鈕4式	34.64110461	137.2708395	253	1764889	1779499	Dotaku4
突線鈕3式	33.65125327	133.7877728	252	1750279	1764889	Dotaku4
突線鈕3式	34.7864	137.3383	248	1750279	1764889	Dotaku5
突線鈕3式	34.81084079	137.5363237	247	1750279	1764889	Dotaku5
突線鈕3式	35.0722	136.0419	247	1750279	1764889	Dotaku4
突線鈕3式	34.7983	137.6914	242	1750279	1764889	Dotaku4
突線鈕3式	34.85833771	137.3278168	242	1750279	1764889	Dotaku5
突線鈕3式	35.0722	136.0419	242	1750279	1764889	Dotaku4
突線鈕3式	34.5656	135.6272	241	1750279	1764889	Dotaku4
突線鈕3式	34.7961	137.6833	241	1750279	1764889	Dotaku4
突線鈕3式	34.7156	137.7722	235	1750279	1764889	Dotaku5
突線鈕3式	35.0722	136.0419	234	1750279	1764889	Dotaku4
推 突線鈕式	35.3647	134.2694	233	1724712	1794109	Dotaku6
突線鈕3式	33.61494412	133.7020243	233	1750279	1764889	Dotaku4
突線鈕3式	34.7989	137.6797	232	1750279	1764889	Dotaku4
突線鈕3式	35.0722	136.0419	230	1750279	1764889	Dotaku4
突線鈕3式	34.8253	137.8589	228	1750279	1764889	Dotaku5
突線鈕2式	34.81240385	137.7268498	228	1735670	1750279	Dotaku5
突線鈕3式	35.0722	136.0419	228	1750279	1764889	Dotaku4
扁平鈕式			228	1702798	1724712	Dotaku3
突線鈕2式	33.7925	135.3392	225	1735670	1750279	Dotaku4
突線鈕3式	35.0722	136.0419	224	1750279	1764889	Dotaku4
突線鈕2式	33.87281044	134.5892711	223	1735670	1750279	Dotaku6
突線鈕3式	33.65125327	133.7877728	223	1750279	1764889	Dotaku4
突線鈕2式	34.67008949	136.5039412	222	1735670	1750279	Dotaku4
突線鈕3式	34.8701311	135.6976864	220	1750279	1764889	Dotaku4
突線鈕3式	34.7989	137.6797	217	1750279	1764889	Dotaku5
突線鈕3式	34.80458628	137.6805868	216	1750279	1764889	Dotaku5
突線鈕3式			216	1750279	1764889	Dotaku4
