language_ja_jp	language_en_us	longitude	latitude
尻沢辺村	しりさわべむら	140.715357	41.753087
大町	おおまち	140.709671	41.769485
喜楽町	きらくちよう	140.709671	41.769485
七軒町	しちけんちよう	140.709671	41.769485
寺町	てらまち	140.707901	41.769094
富岡町	とみおかちよう	140.707901	41.769094
松蔭町	まつかげちよう	140.707901	41.769094
大黒町	だいこくまち	140.703089	41.771314
弁天町	べんてんちよう	140.704285	41.777077
仲浜町	なかはまちよう	140.709671	41.769485
西浜町	にしはまちよう	140.706978	41.773281
幸町	さいわいちよう	140.704285	41.777077
新浜町	しんはままち	140.704285	41.777077
台場町	だいばまち	140.699799	41.772228
仲町	なかまち	140.704285	41.777077
小舟町	こぶねちよう	140.695312	41.76738
帆影町	ほかげちよう	140.695312	41.76738
仲町	なかまち	140.704285	41.777077
神明町	しんめいちよう	140.701909	41.771053
鰪澗町	たなごまちよう	140.701909	41.771053
鰭横町	ひれよこちよう	140.704285	41.777077
鍛冶町	かじまち	140.706696	41.771755
片町	かたまち	140.706696	41.771755
山ノ上町	やまのうえちよう	140.706131	41.768703
旅籠町	はたごちよう	140.700722	41.768042
天神町	てんじんちよう	140.70197	41.767274
神明横町	しんめいよこちよう	140.706131	41.768703
茶屋町	ちややまち	140.706131	41.768703
坂町	さかまち	140.705299	41.767221
常盤町	ときわちよう	140.705299	41.767221
梅ヶ枝町	うめがえちよう	140.706131	41.768703
芝居町	しばいまち	140.705299	41.767221
花谷町	はなやちよう	140.705299	41.767221
愛宕町	あたごちよう	140.704468	41.765739
上新町	かみしんまち	140.704468	41.765739
下新町	しもしんまち	140.704468	41.765739
仲新町	なかしんまち	140.704468	41.765739
元新町	もとしんまち	140.704468	41.765739
船見町	ふなみちよう	140.705299	41.767221
駒止町	こまどめちよう	140.706131	41.768703
台町	だいまち	140.704468	41.765739
山背泊町	やませどまりちよう	140.695312	41.76738
会所町	かいしよまち	140.714134	41.763983
元町	もとまち	140.712158	41.763149
下大工町	しもだいくまち	140.714134	41.763983
上大工町	かみだいくまち	140.714134	41.763983
下汐見町	しもしおみちよう	140.712158	41.763149
上汐見町	かみしおみちよう	140.712158	41.763149
南新町	みなみしんまち	140.714363	41.760118
寿町	ことぶきちよう	140.712158	41.763149
曙町	あけぼのちよう	140.712158	41.763149
汐見町	しおみちよう	140.714363	41.760118
青柳町	あおやぎちよう	140.716568	41.757088
春日町	かすがちよう	140.716568	41.757088
相生町	あいおいちよう	140.716507	41.76129
蓬莱町	ほうらいちよう	140.721191	41.760105
亀若町	かめわかちよう	140.721191	41.760105
尻沢辺町	しりさわべちよう	140.715357	41.753087
蔭町	かげまち	140.716568	41.757088
柳町	やなぎまち	140.716934	41.753859
住吉町	すみよしちよう	140.716934	41.753859
赤石町	あかいしちよう	140.716568	41.757088
浦町	うらまち	140.7173	41.750629
谷地頭町	やちがしらちよう	140.714386	41.754316
内澗町	うちまちよう	140.71611	41.764816
地蔵町	じぞうまち	140.718063	41.765936
末広町	すえひろちよう	140.71611	41.764816
東浜町	ひがしはまちよう	140.71611	41.764816
堀江町	ほりえちよう	140.71611	41.764816
古築島町	ふるつきしまちよう	140.718063	41.765936
船場町	ふなばちよう	140.718063	41.765936
豊川町	とよかわちよう	140.720016	41.767056
真砂町	まさごちよう	140.723694	41.769276
汐留町	しおどめちよう	140.720016	41.767056
恵比須町	えびすちよう	140.718063	41.765936
蔵前通・蔵前町	くらまえどおり・くらまえちよう	140.720016	41.767056
龍神町	りゆうじんちよう	140.720016	41.767056
宝町	たからちよう	140.722061	41.763116
西川町	にしかわちよう	140.724628	41.765984
東川町	ひがしかわちよう	140.730804	41.769191
栄町	さかえちよう	140.72644	41.764572
旭町	あさひちよう	140.728012	41.76683
東雲町	しののめちよう	140.729965	41.769119
松風町	まつかぜちよう	140.732651	41.771976
新川町	しんかわちよう	140.737274	41.776699
千歳町	ちとせちよう	140.7379	41.773586
大森町	おおもりちよう	140.734055	41.767849
鶴岡町	つるおかちよう	140.725868	41.771969
一本木町	いつぽんぎちよう	140.728043	41.774662
若松町	わかまつちよう	140.728043	41.774662
音羽町	おとわちよう	140.725868	41.771969
高砂町	たかさごちよう	140.725868	41.771969
海岸町	かいがんちよう	140.729492	41.78133
大縄町	おおなわちよう	140.732079	41.781233
富沢町	とみさわちよう	140.729492	41.78133
万代町	ばんだいちよう	140.731163	41.791674
松川町	まつかわちよう	140.736206	41.785404
宮前町	みやまえちよう	140.738327	41.789673
八幡町	はちまんちよう	140.739212	41.793278
亀田町	かめだちよう	140.73378	41.795479
吉川町	よしかわちよう	140.729492	41.793812
北浜町	きたはまちよう	140.727478	41.798096
浅野町	あさのちよう	140.725525	41.794624
追分町	おいわけちよう	140.731491	41.798687
大川町	おおかわちよう	140.738937	41.797916
田家町	たやちよう	140.746063	41.797829
白鳥町	しらとりちよう	140.745544	41.793392
五稜郭町	ごりようかくちよう	140.754379	41.796043
柳町	やなぎまち	140.761948	41.793724
川原町	かわはらまち	140.773499	41.791412
梁川町	やながわちよう	140.747162	41.790649
中島町	なかじまちよう	140.741837	41.784119
千代ヶ岱町	ちよがたいちよう	140.747162	41.78437
本町	ほんちよう	140.752258	41.788757
杉並町	すぎなみちよう	140.757187	41.788494
時任町	ときとうちよう	140.753845	41.783077
松蔭町	まつかげちよう	140.761383	41.788235
人見町	ひとみちよう	140.759598	41.781761
柏木町	かしわぎちよう	140.767258	41.787395
乃木町	のぎまち	140.763519	41.78091
金堀町	かなほりちよう	140.760452	41.776165
砂山町	すなやまちよう	140.749603	41.775675
日乃出町	ひのでちよう	140.756485	41.775248
的場町	まとばちよう	140.751846	41.778622
