ja-JP	latitude	longitude	first_julian_day	last_julian_day	texture	overall_length
天神山城跡	36.825153	137.450364	1794109	1812371	BlueCircle	20
口之津貝塚	32.620194	130.188722	1684901	1794473	BlueCircle	20
赤坂・離山砦	36.639569	137.113989	1794109	1812371	BlueCircle	20
鏡山山頂遺跡	33.429436	130.024567	1684901	1794473	BlueCircle	20
黒ケ畑遺跡	33.853046	130.769176	1684901	1794473	BlueCircle	20
扇谷遺跡	35.619768	135.066347	1739687	1764889	BlueCircle	20
ムクリ山遺跡	32.8573	132.6704	1713755	1728365	BlueCircle	20
湯山千人塚遺跡	32.317889	131.068417	1684901	1794473	BlueCircle	20
釜窪丈六堂	34.355722	135.682869	1721060	1794109	BlueCircle	20
城山山頂遺跡	31.596585	130.549936	1867522	1903681	BlueCircle	20
駒ヶ谷遺跡	34.535427	135.628522	1721060	1794109	BlueCircle	20
青葉丘遺跡	34.809861	135.550222	1721060	1794109	BlueCircle	20
上峠遺跡	33.926581	132.114268	1721060	1794109	BlueCircle	20
金怡城山遺跡	34.147694	130.946222	1684901	1794473	BlueCircle	20
石走山遺跡	33.962292	132.022764	1721060	1794109	BlueCircle	20
高尾山遺跡	34.372177	132.314782	1721060	1794109	BlueCircle	20
西山貝塚	34.422965	132.485864	1757949	1830633	BlueCircle	20
天王遺跡	34.036611	131.98225	1684901	1794473	BlueCircle	20
岡山遺跡	34.035222	131.976694	1684901	1794473	BlueCircle	20
岡原遺跡	33.989408	131.949572	1684901	1794473	BlueCircle	20
柳井田遺跡	34.085222	132.091972	1684901	1794473	BlueCircle	20
清水遺跡	34.088	132.089194	1684901	1794473	BlueCircle	20
畑岡遺跡	34.083833	132.085028	1684901	1794473	BlueCircle	20
吹越遺跡	33.918896	132.104956	1684901	1794473	BlueCircle	20
山元遺跡	38.204191	139.470218	1721060	1794109	BlueCircle	20
日向平遺跡	33.919739	132.098121	1684901	1794473	BlueCircle	20
祝島A遺跡	33.782472	131.979472	1684901	1794473	BlueCircle	20
表山遺跡	34.681923	135.02841	1776212	1794109	BlueCircle	20
鳶ノ巣遺跡	33.945458	132.224667	1684901	1794473	BlueCircle	20
松原遺跡	34.293528	132.040583	1684901	1794473	BlueCircle	20
青谷遺跡	34.702671	135.001019	1776212	1794109	BlueCircle	20
長尾山1号遺跡	34.357431	132.292074	1684901	1794473	BlueCircle	20
長尾山2号遺跡	34.3555	132.29636	1684901	1794473	BlueCircle	20
高尾山頂遺跡	34.592089	135.640759	1721060	1830633	BlueCircle	20
稗畑遺跡	34.398651	132.341501	1684901	1794473	BlueCircle	20
平尾遺跡	34.399562	132.364032	1684901	1794473	BlueCircle	20
梨ヶ谷遺跡	34.474497	132.502981	1782055	1794109	BlueCircle	20
