ja-JP	en-US	longitude	latitude
阿岐豆野	Akizuno	135.8919167	34.37763889
阿岐豆野	Akizuno	135.9162778	34.35363889
阿耶訶	Azaka	136.4688056	34.59086111
足柄之坂	Ashigaranosaka	139.0131111	35.32016667
飛鳥河	Asukagawa	135.627	34.54288889
飛鳥河	Asukagawa	135.8229722	34.46277778
小豆島	Azukishima	134.3018889	34.51763889
阿豆麻	Azuma	139.0131111	35.32019444
東之淡水門	Azumanoawanominato	139.6857222	35.15094444
東之淡水門	Azumanoawanominato	139.7641667	34.97738889
阿波岐原	Awakihara	131.4648611	31.96044444
淡島	Awashima	135.01375	34.28888889
淡島	Awashima	135.0059167	34.28122222
淡道島の寒泉	Awajinoshimanoshimizu	134.9474722	34.48266667
淡道島の寒泉	Awajinoshimanoshimizu	134.7486667	34.33416667
淡道之穂之狭別島（淡道島）	Awajinohonosawakenoshima（Awajinoshima）	134.8524722	34.46
相津	Aizu	139.9440556	37.51291667
逢坂	Ousaka	135.8556111	34.99422222
味白檮之言八十禍津日前	Amakashinokotoyasomagatuhinosaki	135.8123333	34.48188889
甜白檮之前	Amakashinosaki	135.8155278	34.47972222
天金山	Amenokanayama	131.0801389	31.66416667
天安河	Amenoyasunokawa	131.3531389	32.73769444
天安河	Amenoyasunokawa	135.8220278	34.45519444
天安河	Amenoyasunokawa	135.7534167	34.42452778
天安河	Amenoyasunokawa	136.0646944	35.01783333
伊岐島	Ikinoshima	129.75175	33.76016667
伊勢の海	Isenoumi	136.7481389	34.70983333
伊杼美	Idomi	135.8491389	34.75919444
伊賦夜坂	Yūyasaka	133.1616111	35.42763889
伊予之二名島	Iyonofutananoshima	133.6375278	33.74325
宇陀之穿	Udanoukachi	135.9863333	34.45988889
宇陀之血原	Udanochihara	135.9939167	34.44897222
宇美	Umi	130.5089444	33.57044444
隠伎之三子島	Okinomitsugonoshima	133.3125556	36.20708333
堕国	Ochikuni	135.6867778	34.92277778
淤能碁呂島	Onogoroshima	135.0215556	34.58986111
淤能碁呂島	Onogoroshima	134.8159722	34.16611111
大倭豊秋津島	Ōyamatotoyoakizushima	135.8919167	34.37761111
訶和羅前	Kawaranosaki	135.7761944	34.81911111
屎褌（久須婆）	Kusobakama(kusuba)	135.6711944	34.86708333
呉原	Kurehara	135.8085278	34.45388889
懸木（相楽）	Sagariki（sagaraka）	135.89925	34.79725
佐度島	Sadonoshima	138.2341944	37.99775
狭井河（佐韋河）	Saigawa	135.8521667	34.53275
志米須	Shimesu	135.8140278	34.78952778
志米須	Shimesu	135.8244444	34.46533333
須賀	Suga	133.0315833	35.35422222
当芸	Tagi	136.5496111	35.28730556
楯津（蓼津）	Tatetsu（Tadetsu）	135.6456111	34.69436111
近飛鳥	Chikatsuasuka	135.6387222	34.53533333
血沼海	Chinunoumi	135.18625	34.544
血浦（角鹿）	Chinura（tsunuga）	136.0747222	35.65497222
筑紫島	Tsukushinoshima	130.9588889	32.65102778
津島	Tsushima	129.3119167	34.37913889
杖衝坂	Tsuetsukisaka	136.5799167	34.91763889
遠飛鳥	Tōtsuasuka	135.8226944	34.46305556
波布理曾能	Hafurisono	135.8015	34.76469444
御津前	Mitsunosaki	135.5006667	34.67055556
三重	Mie	136.5805278	34.92108333
美和	Miwa	135.8673056	34.53519444
喪山	Moyama	136.8714444	35.53916667
喪山	Moyama	136.5334722	35.37827778
焼遺	Yakitsu	138.3138611	34.86508333
居寤清水	Isamenoshimizu	136.3520833	35.32961111
居寤清水	Isamenoshimizu	136.4018333	35.37569444
男水門	Onominato	135.2540556	34.37030556
