ja-JP	en-US	longitude	latitude	max_size	first_julian_day	last_julian_day
唱更國	Hayahito	130.306333	31.832	10	1977703	1978233
薩麻國	Satsuma	130.306333	31.832	10	1978234	1994999
薩摩國	Satsuma	130.306333	31.832	10	1995000	9999999
大隅國	Ōsumi	130.771333	31.741125	16	1981602	9999999
日向國	Hyūga	131.396908	32.102417	18	1721424	9999999
火國	Hi	130.722961	32.787292	24	1721424	1956834
肥國	Hi	130.722961	32.787292	24	1956835	1975424
肥後國	Higo	130.722961	32.787292	24	1975425	9999999
豐國	Toyo	131.554139	33.194636	18	1721424	1956834
豐後國	Bungo	131.554139	33.194636	16	1956835	9999999
筑後國	Chikugo	130.537908	33.295294	8	1956835	9999999
肥前國	Hizen	130.287458	33.313881	6	1975425	9999999
奴國	Na	130.506656	33.520689	18	1721424	1829999
筑紫國	Tsukushi	130.506656	33.520689	16	1830000	1956834
筑前國	Chikuzen	130.506656	33.520689	16	1956835	9999999
豐前國	Buzen	130.92022	33.69919	9	1956835	9999999
一支國	Iki	129.731722	33.769806	16	1721424	1956834
壹岐國	Iki	129.731722	33.769806	16	1956835	9999999
對馬國	Tsushima	129.28753	34.20264	24	1721424	9999999
穴門國	Anato	130.990833	33.998889	14	1721424	1963970
長門國	Nagato	130.990833	33.998889	14	1963971	9999999
周防國	Suō	131.586361	34.057639	18	1721424	9999999
安藝國	Aki	132.50453	34.39258	16	1721424	9999999
吉備國	Kibi	133.774994	34.682914	18	1721424	1958507
備後國	Bingo	133.393861	34.563133	16	1958508	9999999
備中國	Bitchū	133.774994	34.682914	5	1958508	9999999
美作國	Mimasaka	133.996656	35.07525	13	1981602	9999999
備前國	Bizen	133.956428	34.6921	16	1958508	9999999
播磨國	Harima	134.695822	34.834681	22	1721424	9999999
石見國	Iwami	132.07983	34.89922	18	1721424	9999999
出雲國	Izumo	133.04853	35.46811	18	1721424	9999999
伯耆國	Hōki	133.82553	35.43011	12	1721424	9999999
隱伎國	Oki	133.307367	36.224347	40	1721424	2027999
隱岐國	Oki	133.307367	36.224347	40	2028000	9999999
因幡國	Inaba	134.261903	35.470208	16	1721424	9999999
儋遲麻國	Tajima	134.770772	35.469728	11	1967670	1981630
儋馬國	Tajima	134.770772	35.469728	11	1981631	9999999
丹波國	Taniwa	135.179767	35.579025	16	1721424	1956834
丹後國	Tango	135.179767	35.579025	16	1981602	9999999
丹波國	Tanba	135.578519	35.042242	7	1956835	9999999
伊豫國	Iyo	133.025444	34.026167	40	1721424	9999999
土佐國	Tosa	133.648686	33.599883	16	1721424	9999999
