language_ja_jp	language_en_us	longitude	latitude	min_size	max_size
アイナイ	Ainai	141.3019444	40.43166667	1	4
アイナイ	Ainai	140.3788889	40.50305556	1	4
アカホナイ	Akahonai	141.6175	40.44166667	1	16
ウメナイ	Umenai	141.2825	40.36805556	1	4
オオシタナイ	Ōshitanai	141.2575	40.68888889	1	4
オオベツナイ	Ōbetsunai	140.7402778	40.74111111	1	4
オオマ	Ōma	140.9075	41.52666667	1	8
オコナイ	Okonai	141.2994444	41.22527778	1	8
オコナイ	Okonai	140.6641667	40.88833333	1	4
カマヤ	Kamaya	140.9830556	41.22944444	1	4
キツナイ	Kitsunai	140.6127778	40.69777778	1	4
キリヤナイ	Kiriyanai	141.3602778	40.545	1	4
クラナイ	Kuranai	141.3127778	40.87416667	1	4
サピナイ	Sapinai	140.4966667	40.58444444	1	4
サンナイ	Sannai	140.6911111	40.81	1	50
シシナイ	Shishinai	141.1397222	40.33361111	1	4
シリヤ	Shiriya	141.4416667	41.39611111	1	4
タッコ	Tapkop	141.1522222	40.34	1	4
タデナイ	Tadenai	141.2830556	40.75777778	1	4
チョウシタナイ	Chōshitanai	141.3461111	40.37388889	1	4
トウナイ	Tōnai	140.4555556	40.63472222	1	4
トコシナイ	Tokoshinai	140.3119444	40.73222222	1	4
トナイ	Tonai	141.1975	40.35888889	1	4
トビナイ	Tobinai	140.5994444	40.67972222	1	4
トマベチ	Tomabechi	141.3716667	40.47861111	1	4
トヨマナイ	Toyomanai	141.3447222	40.50944444	1	4
ニウイ	Niui	140.5680556	40.54833333	1	4
ニショウナイ	Nishōnai	140.7047222	40.58888889	1	4
ニュウナイ	Nyūnai	140.7258333	40.71055556	1	4
ノヘジ	Noheji	141.1286111	40.86444444	1	4
ハイナイ	Hainai	141.0936111	40.43777778	1	4
ハタナイ	Hatanai	141.4819444	40.37527778	1	4
ヒラナイ	Hiranai	140.9558333	40.92611111	1	4
ヒラナイ	Hiranai	141.5566667	40.42027778	1	4
ホラナイ	Horanai	141.1766667	40.65805556	1	4
ホロナイ	Horonai	140.3508333	41.22638889	1	8
マゴナイ	Magonai	140.6422222	40.75805556	1	4
マンナイ	Mannai	141.2125	40.55833333	1	4
ヤコシ	Yakoshi	140.85	41.41222222	1	4
ヤナイ	Yanai	140.7472222	40.82222222	1	4
ヨコナイ	Yokonai	140.8466667	40.7075	1	4
トチナイ	Tochinai	141.6380556	39.41194444	1	4
タンナイ	Tannai	141.2805556	39.34305556	1	4
タッソベ	Tassobe	141.3722222	39.41222222	1	4
ヨコナイ	Yokonai	141.4641667	39.34083333	1	4
ジョウナイ	Jōnai	141.1963889	39.52388889	1	4
ミナイ	Minai	141.5866667	39.89027778	1	4
キンダイチ	Kindaichi	141.3069444	40.31944444	1	4
クロナイ	Kuronai	141.1372222	40.00361111	1	4
カシナイ	Kashinai	141.9661111	39.71	1	4
トチナイ	Tochinai	141.2111111	39.59138889	1	4
トマイ	Tomai	141.2308333	40.29916667	1	4
ニタナイ	Nitanai	141.1472222	39.41111111	1	4
ヨナイ	Yonai	141.1861111	39.72583333	1	16
ホンナイ	Honnai	140.7194444	39.40388889	1	4
ワイナイ	Wainai	141.7244444	39.71055556	1	4
マスコナイ	Masukonai	141.5172222	40.31333333	1	4
コボリナイ	Koborinai	141.9547222	39.78388889	1	4
ホンナイ	Honnai	140.8433333	39.29861111	1	4
ニシナイ	Nishinai	141.61	39.41166667	1	4
ナカナイ	Nakanai	141.2088889	39.34083333	1	4
サンナイ	Sannai	141.3983333	40.30222222	1	4
ヌカノマエ/ヌカマエ	Nukanomae/Nukamae	141.5644444	39.32527778	1	4
スクナイ	Sukunai	141.1011111	39.2075	1	4
シリコナイ	Shirikonai	141.3261111	40.26222222	1	4
ホソナイ	Hosonai	140.7147222	39.31111111	1	4
ヌマクナイ	Numakunai	141.2747222	40.02194444	1	4
マクナイ	Makunai	141.2419444	39.17777778	1	4
アサナイ	Asanai	141.7194444	39.81305556	1	4
サヒナイ	Sahinai	141.6619444	39.29888889	1	4
ツボナイ	Tsubonai	141.7947222	39.26833333	1	4
ツクモウシ	Tsukumōshi	141.5269444	39.42055556	1	4
ヨナイ	Yonai	141.2161111	39.75416667	1	4
セナイ	Senai	141.6147222	39.30777778	1	4
カイナイ	Kainai	141.7597222	39.83944444	1	4
ニタドリ	Nitadori	141.2427778	40.23611111	1	4
サンナイ	Sannai	141.0825	40.15	1	4
オコナイ	Okonai	141.7413889	40.32777778	1	4
ジョウナイ	Jōnai	141.8327778	39.25888889	1	4
