key	ja-JP	en-US	longitude	latitude	min_size	max_size	first_julian_day	last_julian_day
SamgukSagi1	沙伐國	Sabeol	128.1388481	36.40498025	0.1	16	1721424	1912995
SamgukSagi2	上州	Sang	128.1388481	36.40498025	0.1	24	1912996	1972166
SamgukSagi3	沙伐州	Sabeol	128.1388481	36.40498025	0.1	24	1972167	1997733
SamgukSagi4	尙州	Sang	128.1388481	36.40498025	0.1	24	1997734	9999999
SamgukSagi5	昔里火縣(靑里火縣)	Seokrihwa	128.0890925	36.29059593	0.1	2	1721424	1997930
SamgukSagi6	靑驍縣	Cheonghyo	128.0890925	36.29059593	0.1	2	1997931	2064499
SamgukSagi7	靑理縣	Cheongri	128.0890925	36.29059593	0.1	2	2064500	9999999
SamgukSagi8	達已縣(多已縣)	Dali	128.3378705	36.43999585	0.1	2	1721424	1997930
SamgukSagi9	多仁縣	Dain	128.3378705	36.43999585	0.1	2	1997931	9999999
SamgukSagi10	知乃彌知縣	Jinaemiji	127.9164113	36.47734583	0.1	2	1721424	1997930
SamgukSagi11	化昌縣	Hwachang	127.9164113	36.47734583	0.1	2	1997931	9999999
SamgukSagi12	水酒郡	Suju	128.4256744	36.65242386	0.1	4	1721424	1997930
SamgukSagi13	匡泉郡	Gwangcheon	128.4256744	36.65242386	0.1	4	1997931	2064499
SamgukSagi14	甫州	Bo	128.4256744	36.65242386	0.1	4	2064500	9999999
SamgukSagi15	下枝縣	Haji	128.5515268	36.57072078	0.1	2	1721424	1997930
SamgukSagi16	永安縣	Yeongan	128.5515268	36.57072078	0.1	2	1997931	2064499
SamgukSagi17	豐山縣	Pungsan	128.5515268	36.57072078	0.1	2	2064500	9999999
SamgukSagi18	蘭山縣	Nansan	128.2295789	36.66176136	0.1	2	1721424	1997930
SamgukSagi19	安仁縣	Anin	128.2295789	36.66176136	0.1	2	1997931	9999999
SamgukSagi20	近品縣(巾品縣)	Geunpum	128.2237253	36.60340201	0.1	2	1721424	1997930
SamgukSagi21	嘉猷縣	Gayu	128.2237253	36.60340201	0.1	2	1997931	2064499
