key	longitude	latitude	min_size	max_size
Balhae1	129.1417	44.1306	50	300
Balhae2	131.5	41.5	20	50
Balhae3	129.1417	44.1306	1	50
Balhae4	130.366667	42.86667	1	50
Balhae5	128.2333	43.3667	1	22
Balhae6	128.3140229	40.24318	1	50
Balhae7	126.91365	41.80821	1	50
Balhae8	126.746	42.972	1	32
Balhae9	125.55	43.836	1	50
Balhae10	126.6245213	45.7492867	1	50
Balhae11	133.1171478	43.1145326	1	50
Balhae12	135.2780628	43.7514417	1	50
Balhae13	131.97	43.81	1	32
Balhae14	131.8669188	45.5438109	1	50
Balhae15	129.55626	46.315	1	50
Balhae16	134.2878672	46.4444747	1	50
Balhae17	132.6111172	47.9303113	1	50
Balhae18	129.8999082	45.8103515	1	18
Balhae19	129.1485	43.42115	1	15
Balhae20	126.55	43.836	1	20
