key	longitude	latitude
NRCT1	140.715357	41.753087
NRCT2	140.709671	41.769485
NRCT3	140.73378	41.795479
NRCT4	141.410172	40.403683
NRCT5	140.348312	36.525631
NRCT6	140.365448	36.518894
NRCT7	140.37384	36.508102
NRCT8	140.371948	36.49366
NRCT9	140.386429	36.493202
NRCT10	140.356583	36.505047
NRCT11	140.350327	36.491516
NRCT12	140.350052	36.516468
NRCT13	140.326477	36.520824
NRCT14	140.312653	36.514751
NRCT15	141.425964	40.379951
NRCT16	140.312653	36.514751
NRCT17	140.316162	36.501076
NRCT18	140.401825	36.481056
NRCT19	140.400925	36.46368
NRCT20	140.400925	36.46368
NRCT21	140.385803	36.476124
NRCT22	140.367783	36.466312
NRCT23	140.357925	36.467197
NRCT24	140.347488	36.482235
NRCT25	140.347488	36.482235
NRCT26	141.445816	40.401711
NRCT27	140.33699	36.476273
NRCT28	140.33699	36.476273
NRCT29	140.350769	36.460358
NRCT30	140.315323	36.465302
NRCT31	140.324966	36.447308
NRCT32	140.324966	36.447308
NRCT33	140.376328	36.455711
NRCT34	140.362701	36.449333
NRCT35	140.372177	36.43766
NRCT36	140.551147	36.348694
NRCT37	141.451675	40.426811
NRCT38	140.570328	36.343224
NRCT39	140.569626	36.333519
NRCT40	140.562805	36.322254
NRCT41	140.554947	36.334435
NRCT42	140.554947	36.334435
NRCT43	140.549164	36.321178
NRCT44	140.53801	36.334003
NRCT45	140.527496	36.34201
NRCT46	140.518082	36.344254
NRCT47	140.511841	36.351604
NRCT48	141.47316	40.434193
NRCT49	140.524551	36.328072
NRCT50	140.524551	36.328072
NRCT51	140.530045	36.309589
NRCT52	140.518265	36.310207
NRCT53	140.508072	36.313374
NRCT54	140.590179	36.321331
NRCT55	140.554504	36.30489
NRCT56	140.543823	36.295719
NRCT57	140.543427	36.272839
NRCT58	140.367996	36.397289
NRCT59	141.495636	40.394753
NRCT60	140.361282	36.397106
NRCT61	140.359436	36.391537
NRCT62	140.365219	36.391026
NRCT63	140.358719	36.386051
NRCT64	140.36969	36.382294
NRCT65	140.374557	36.37022
NRCT66	140.374863	36.363979
NRCT67	140.358124	36.380692
NRCT68	140.338669	36.38308
NRCT69	140.344345	36.369831
NRCT70	141.558853	40.377213
NRCT71	140.359848	36.365395
NRCT72	140.347534	36.357269
NRCT73	140.34375	36.350506
NRCT74	140.343857	36.341385
NRCT75	140.381668	36.32563
NRCT76	140.514816	36.295486
NRCT77	140.490616	36.29002
NRCT78	140.469803	36.295704
NRCT79	141.554901	40.399441
NRCT80	140.487473	36.309807
NRCT81	140.442963	36.28978
NRCT82	140.442947	36.301228
NRCT83	140.442947	36.301228
NRCT84	140.429779	36.307617
NRCT85	140.418167	36.322037
NRCT86	140.40593	36.328438
NRCT87	140.395035	36.324894
NRCT88	140.405624	36.311981
NRCT89	140.420746	36.298012
NRCT90	141.556793	40.420761
NRCT91	140.40744	36.299419
NRCT92	140.39856	36.301617
NRCT93	140.392685	36.303684
NRCT94	140.380768	36.299885
NRCT95	140.370682	36.300507
NRCT96	140.363083	36.301216
NRCT97	140.359711	36.281601
NRCT98	140.380005	36.28841
NRCT99	140.386597	36.287888
NRCT100	140.397842	36.28648
NRCT101	141.538757	40.439205
NRCT102	140.412979	36.283871
NRCT103	140.422531	36.281422
NRCT104	140.437088	36.278645
NRCT105	140.442902	36.268158
NRCT106	140.449463	36.262539
NRCT107	140.488327	36.257038
NRCT108	140.470215	36.252583
NRCT109	140.44455	36.242798
NRCT110	140.430557	36.268799
NRCT111	140.431366	36.26165
NRCT112	140.729492	41.793812
NRCT113	141.572891	40.454773
NRCT114	140.415756	36.258888
NRCT115	140.415756	36.258888
NRCT116	140.418655	36.244789
NRCT117	140.389374	36.266399
NRCT118	140.402512	36.245354
NRCT119	140.393143	36.242634
NRCT120	140.406326	36.231415
NRCT121	140.41272	36.226772
NRCT122	140.377365	36.248466
NRCT123	140.373016	36.2589
NRCT124	141.599274	40.422737
NRCT125	140.353409	36.263386
NRCT126	140.3479	36.251671
NRCT127	140.334045	36.263115
NRCT128	140.318527	36.270645
NRCT129	140.318604	36.265137
NRCT130	140.310181	36.273926
NRCT131	140.349869	36.236286
NRCT132	140.327255	36.244175
NRCT133	140.321091	36.258541
NRCT134	140.312119	36.252422
NRCT135	141.610626	40.443771
NRCT136	140.301773	36.256718
NRCT137	140.315964	36.240154
NRCT138	140.372391	36.226879
NRCT139	140.348831	36.221924
NRCT140	140.348679	36.210117
NRCT141	140.33075	36.226917
NRCT142	140.311234	36.222584
NRCT143	140.306641	36.233799
NRCT144	140.288391	36.23962
NRCT145	140.28891	36.221024
NRCT146	141.617508	40.444752
NRCT147	140.299286	36.223358
NRCT148	140.317627	36.210285
NRCT149	140.329773	36.203369
NRCT150	140.320496	36.218777
NRCT151	140.338928	36.198647
NRCT152	140.385529	36.224056
NRCT153	140.39032	36.216698
NRCT154	140.40358	36.215992
NRCT155	140.407288	36.206581
NRCT156	140.407288	36.206581
NRCT157	141.649673	40.448238
NRCT158	140.421356	36.199696
NRCT159	140.435959	36.182823
NRCT160	140.385391	36.174229
NRCT161	140.39856	36.174461
NRCT162	140.421249	36.16787
NRCT163	140.414154	36.151188
NRCT164	140.375473	36.161381
NRCT165	140.38707	36.186382
NRCT166	140.377075	36.19788
NRCT167	140.348877	36.196445
NRCT168	141.493637	40.51343
NRCT169	140.358826	36.192677
NRCT170	140.358826	36.192677
NRCT171	140.358185	36.166138
NRCT172	140.361847	36.15918
NRCT173	140.367645	36.160561
NRCT174	140.47508	36.375526
NRCT175	140.474965	36.372775
NRCT176	140.474503	36.371708
NRCT177	140.475388	36.370659
NRCT178	140.473183	36.376043
NRCT179	141.493546	40.512211
NRCT180	140.472282	36.378352
NRCT181	140.47172	36.378082
NRCT182	140.470435	36.376936
NRCT183	140.468979	36.376498
NRCT184	140.46838	36.37522
NRCT185	140.46843	36.373039
NRCT186	140.471553	36.372053
NRCT187	140.470604	36.374019
NRCT188	140.469833	36.376729
NRCT189	140.467247	36.376081
NRCT190	141.489532	40.513016
NRCT191	140.467167	36.378676
NRCT192	140.465832	36.376329
NRCT193	140.464417	36.376577
NRCT194	140.462471	36.375463
NRCT195	140.46328	36.377063
NRCT196	140.46328	36.377063
NRCT197	140.462471	36.375463
NRCT198	140.46106	36.378816
NRCT199	140.460037	36.378187
NRCT200	140.459254	36.383531
NRCT201	141.488274	40.512415
NRCT202	140.464498	36.380248
NRCT203	140.463931	36.379809
NRCT204	140.462082	36.379444
NRCT205	140.462826	36.382753
NRCT206	140.459747	36.382797
NRCT207	140.459862	36.38144
NRCT208	140.459976	36.380083
NRCT209	140.458252	36.383875
NRCT210	140.458252	36.383875
NRCT211	140.464485	36.384119
NRCT212	141.486725	40.509598
NRCT213	140.463104	36.385132
NRCT214	140.463104	36.385132
