key	ja-JP	en-US	ko-KR	zh-TW	latitude	longitude
HAinu1	サッナイ	Sat-nay	니콜	札前	41.46361111	140.0280556
HAinu2	チリプオ	Cir-o-p	오오호내	白符	41.46527778	140.2486111
HAinu3	モムチャ	Mom-ca	퇴오이	茂草	41.50222222	140.0191667
HAinu4	キオペ	Ki-o-pe	쿤네펱	清部	41.52416667	140.0036111
HAinu5	コタヌウシイ	Kotanu-us-i	모눞오내	小谷石	41.53083333	140.4191667
HAinu6	エラマンテウシ	Eramante-usi	에산피탈	江良	41.54444444	139+59/60+34/3600
HAinu7	パラコッ	Para-kot	삿웃이	原口	41.60444444	139+59/60+10/3600
HAinu8	チシムエコ	Cis-imko	오우콭	小砂子	41.64861111	139+59/60+58/3600
HAinu9	リコナイ	?-nay	쿠마웃이	木古内	41.67722222	140.4286111
HAinu10	カマヤペッ	Kama-ya-pet	코탄내	釜谷	41.71166667	140.5377778
HAinu11	カマヤ	Kama-ya	코탄펱	釜谷	41.73361111	140.9366667
HAinu12	トウンペッ	To-un-pet	피산펱	当別	41.7375	140.58
HAinu13	オヤウシイ	O-ya-us-i	카예우투루	小安	41.74027778	140.9272222
HAinu14	シララウエト	Sirar-etu	아윳니웃이	石崎	41.75333333	140.8777778
HAinu15	モペチ	Mo-peci	퉆우시	茂辺地	41.76527778	140.6036111
HAinu16	ウカウシララ	Ukaw-sirar	눞카	志海苔	41.76611111	140.8197222
HAinu17	エサンイ	E-san-i	에핏오맢	恵山	41.78555556	141.1494444
HAinu18	ヤンケナイ	Yanke-nay	우팟사맘페	矢不来	41.78694444	140.6194444
HAinu19	クンネペッ	Kunne-pet	쿹카안내	久根別	41.825	140.6702778
HAinu20	トゥパナ	Tu-pana	펱포	津花	41.865	140.1216667
HAinu21	ペケペッレ	Peker-pet	소랖치	戸切地	41.8675	140.5944444
HAinu22	キナウシイ	Kina-us-i	쿠마웃이	木直	41.88583333	141.0691667
HAinu23	オサッペ	O-sat-pe	이찬내	尾札部	41.89	141.0216667
HAinu24	トマリ	Tomari	포로뫼	泊	41.89138889	140.1388889
HAinu25	カッコクウンイ	Kakkok-un-i	키토웃	川汲	41.90888889	140.9722222
HAinu26	プシプトゥ	Pus-putu	시타카라?	伏木戸	41.91666667	140.1455556
HAinu27	ランポク	Ran-pok	피라켓	峠下	41.92583333	140.6538889
HAinu28	ポロト	Poro-to	홀카내	大沼	41.98166667	140.6738889
HAinu29	イクサプ	I-kusa-p	앝웃내	軍川	41.99083333	140.7030556
HAinu30	オタペッ	Ota-pet	칠펱	歌別	41.99805556	143.1619444
HAinu31	フレペッ	Hure-pet	(토피우)?	赤井川	42.00666667	140.6313889
HAinu32	トマムペッ	Tomam-pet	포펱	苫別	42.01638889	143.1483333
HAinu33	シケペ	Sike-pe	놑삼	鹿部	42.03333333	140.8208333
HAinu34	ソヤ	So-ya	온네토	庶野	42.04111111	143.2919444
HAinu35	プイオマプ	Puy-oma-p	실투카리	笛舞	42.04638889	143.1027778
HAinu36	ポンペッ	Pon-pet	템문야	本別	42.05111111	140.8091667
HAinu37	チカイェプ	Cikayep	오야훌	近浦	42.06027778	143.0727778
HAinu38	ポロオマンペッ	Poro-oman-pet	탚콮	幌満	42.07666667	143.0352778
HAinu39	プイオスマ	Puy-o-suma	시유펱	冬島	42.10111111	142.9855556
HAinu40	オシララナイ	O-sirar-nay	이소야	尾白内	42.11222222	140.6127778
HAinu41	ケネニウシイ	Kene-ni-us-i	메만펱	見日	42.11694444	140.0213889
HAinu42	サラ	Sara	노카피라	砂原	42.12666667	140.6638889
HAinu43	クマウシイ	Kuma-us-i	쿹탈웃이	熊石	42.12916667	139+59/60+8/3600
HAinu44	ウトマペッウム	Utumam-pet	치우앗펱	鵜苫	42.13388889	142.8738889
HAinu45	スキナイプ	Supki-nay	오샅내	関内	42.13472222	139+55/60+58/3600
HAinu46	チキサプ	Ci-kisa-p	펫투카리	月寒	42.15166667	142.7994444
HAinu47	イクシリタモシ	I-kus-ta-mosir	후레펱	奥尻	42.17138889	139+30/60+54/3600
HAinu48	イカララニ	I-kar-rani	앝퉄토	井寒台	42.17833333	142.7327778
HAinu49	エサマンイ	Esaman-i	니눔웃펱	様似	42.18333333	142.9252778
HAinu50	エプイ	Epuy	에룸내	絵笛	42.18694444	142.7147222
HAinu51	カイェウトゥル	Kaye-uturu	키로루	貝取澗	42.18694444	139+53/60+35/3600
HAinu52	オテシペッ	O-tes-pet	카믜핱탈	落部	42.18972222	140.4255556
HAinu53	ニチャ	Ni-ca	란코웃이	西舎	42.19361111	142.8608333
HAinu54	オニウシイ	O-ni-us-i	후렢	荻伏	42.19666667	142.6791667
HAinu55	ルペペッシ	Ru-pes-pet	웬내	ルベシベツ	42.20027778	143.3238889
HAinu56	モコチ	Mo-koci	토마리	向別	42.20611111	142.7805556
HAinu57	ヌプタイ	Nup-tay	샄코탄내	野田生	42.21833333	140.3788889
HAinu58	オシララウンペッ	O-sirar-un-pet	이페콜펱	音調津	42.22361111	143.3169444
HAinu59	クウントゥ	Ku-un-tu	쿹찰	久遠	42.22416667	139+50/60+12/3600
HAinu60	ケリマプ	Keri-ma-p	멤	鳧舞	42.22555556	142.6225
HAinu61	アネサラ	Ane-sara	알룰	姉茶	42.22833333	142.7216667
HAinu62	ヤクナイムシ	Yam-kus-nay	우랄	山越	42.23	140.33
HAinu63	ミトゥシ	Mitus	토마오마이	三石	42.24833333	142.5572222
HAinu64	ヌプカ	Nupka	산내푸투	野深	42.24861111	142.7555556
HAinu65	ポンケリマプ	Pon-kerimap	태키웃이	本桐	42.24944444	142.6327778
HAinu66	ピポオロ	Pi-po-or	시펱차	美幌	42.25305556	143.3091667
HAinu67	ハルタウシナイ	Haru-ta-us-nay	샅쿠마	春立	42.26805556	142.5016667
HAinu68	オタ	Ota	하루우토루?	太田	42.28111111	139+47/60+5/3600
HAinu69	モイオロ	Moy-or	투왈	茂寄	42.28166667	143.3136111
HAinu70	ピオリロ	Pir-or	시카리펱	広尾	42.28694444	143.2755556
HAinu71	ポクオイ	Pok-o-i	텔케웃이	母恋	42.31111111	140.9952778
HAinu72	ヌカペップ	Nupka-pet	사모오마이	野塚	42.31333333	143.3252778
HAinu73	ウララ	Urar	에쿳나펱	浦和	42.31722222	142.4216667
HAinu74	トイペッ	Toy-pet	핕오로	東別	42.32388889	142.5563889
HAinu75	チャシ	Casi	판케토	茶津	42.32611111	140.9933333
HAinu76	ワネウシイ	Wa?-ne-us-i	유푸투	輪西	42.33388889	141.0097222
HAinu77	シフチナイ	Si-huci-nay	눔옽페	静内	42.34027778	142.365
HAinu78	シクトゥル	Sikutur	오넽오맢	祝津	42.34055556	140.9486111
HAinu79	ハペッシ	Has-pet	야솟케	鷲別	42.35527778	141.0477778
HAinu80	チリペッ	Cir-pet	페페릐	知利別	42.35972222	141.025
HAinu81	クンネスマ	Kunne-suma	마살펱	黒岩	42.36777778	140.2894444
HAinu82	ポロハックッ	Poro-hatkut	살오마펱	泊津	42.37222222	142.3330556
HAinu83	ピッオロ	Pit-oro	시요로로?	太櫓	42.38	139+49/60+4/3600
HAinu84	セプ	Sep	오시키나웃이	節婦	42.38166667	142.2761111
HAinu85	オコムシプウペ	O-kompu-us-pe	미툿	黄金	42.38555556	140.9094444
HAinu86	トイオイ	Toy-o-i	포로내	豊似	42.39444444	143.3033333
HAinu87	ヲフンカルシベ	O-punkar-us-pe	하루웃	大狩部	42.39611111	142.2602778
HAinu88	ポロペッ	Poro-pet	타올켓	幌別	42.40972222	141.1091667
HAinu89	マウ(ニ)ウシイオロ	Maw(Ni)-us-i-oro	센필	万世	42.42	142.4058333
HAinu90	ノヤサラ	Noya-sar	살킾	農屋	42.42055556	142.5052778
HAinu91	エマウリオマレプ	Emawri-omarep	토맘	稀府	42.4275	140.9033333
HAinu92	クン(ネ)ヌイ	Kun(Ne)-nuy	마타옽이	国縫	42.43694444	140.3225
HAinu93	セタナイ	Seta-nay	오샅페	瀬棚	42.45277778	139+51/60+5/3600
HAinu94	ライパ	Ray-pa	웉내	来馬	42.45583333	141.1
HAinu95	クッタラシウイ	Kuttar-us-i	모이와	虎杖浜	42.46222222	141.2152778
HAinu96	カパラ	Kapar	콤푸뫼	賀張	42.46888889	142.2238889
HAinu97	トピウ	(Topiu)?	오타누푸리	竹浦	42.47694444	141.2383333
HAinu98	メム	Mem	토풑	芽武	42.47722222	143.3686111
HAinu99	モペッ	Mo-pet	우희	門別	42.48	142.0736111
HAinu100	ワッカオイ	Wakka-o-i	윸치세	若生	42.49638889	140.82
HAinu101	ユクチセ	Yuk-cise	애캎	幾千世	42.50027778	142.1161111
HAinu102	タイキウシイ	Tayki-us-i	오타놋키	大樹	42.50222222	143.2672222
HAinu103	ピウカ	(Biuka)	시케페	比宇（美宇）	42.50722222	142.3380556
HAinu104	ウパサマペシム	Upas-samampe}	이오피토	長万部	42.51416667	140.3791667
HAinu105	ウシオロ	Us-or	치래카리펱	有珠	42.51472222	140.7913889
HAinu106	スマオタ	Suma-ota	눞우툴	島歌	42.51611111	139+50/60+40/3600
HAinu107	ピラカウンコタン	Pira-ka-un-kotan	세오이	平賀	42.52527778	142.0413889
HAinu108	ソペッ	So-pet	오타	壮瞥	42.55611111	140.8622222
HAinu109	スムウンコッ	Sum-un-kot	놑올	紫雲古津	42.5575	142.0769444
HAinu110	サル・パ	Sar-pa	니세오맢	去場	42.56194444	142.0869444
HAinu111	チウルイトプイ	Ciw-ruy-topuy	파라오타	忠類	42.56444444	143.3019444
HAinu112	ニナ	(Nina)	레푼켚	荷菜	42.57555556	142.1069444
HAinu113	サタイペッ	Sa-tay-pet	오케투운내	社台	42.57805556	141.4166667
HAinu114	クオナイ	Ku-o-nay	쿹탈웃이	久保内	42.57888889	140.9552778
HAinu115	レプンケプ	Repun-ke-p	얌페	礼文華	42.58027778	140.5936111
HAinu116	シララオイ	Sirara-o-i	온네유	白老	42.5825	141.3158333
HAinu117	シリトゥカリ	Sir-tukari	누칸내	静狩	42.58583333	140.465
HAinu118	パンケユ	Panke-yu	샅텤내	蟠溪	42.58861111	141.0258333
HAinu119	オプシケ	Op-kes	하루웃내	大岸	42.59055556	140.6447222
HAinu120	オタルオマイ	Ota-ru-oma-i	오퇴넾	樽前	42.59777778	141.4277778
HAinu121	オイカオマイ	Oika-oma-i	오살웃내	生花	42.59888889	143.4522222
HAinu122	クオピラ	Ku-o-pira	모펱	小平	42.60083333	142.1511111
HAinu123	ニシタプ	Ni-sitap	라니	錦岡	42.6025	141.48
HAinu124	レレコオマペッ	Rerko-oma-pet	모펱	駒別	42.61166667	140.9880556
HAinu125	コイトウエイ	Koy-tuye	쳎포오치	糸井	42.61861111	141.5397222
HAinu126	ワルンペフル	Warunpe-hur	유토	蕨岱	42.61861111	140.3352778
HAinu127	ユプトゥ	Yu-putu	웉	勇払	42.62722222	141.7280556
HAinu128	ニプタイ	Nip-ta-i?	렐코오마펱	二風谷	42.63555556	142.1588889
HAinu129	トヤ	To-ya	포킨필	洞爺	42.64888889	140.8338889
HAinu130	サラペッ	Sar-pet	닢타이?	更別	42.6525	143.1855556
HAinu131	チオプシイ	Ci-o-pus-i	팔오마웉내	長節	42.66	143.5844444
HAinu132	クルマッナイ	Kurmat-nay	맛우포포	黒松内	42.67083333	140.3075
HAinu133	メム	Mem	토운펱	芽生	42.67083333	142.3625
HAinu134	ヌプキペッ	Nupki-pet	리키필	貫気別	42.6725	142.2630556
HAinu135	メプ	Mep	루펫펱	熟郛	42.67833333	140.3033333
HAinu136	ヌイェ	Nuye	풋푸투	荷負	42.67972222	142.1977778
HAinu137	ユト	Yu-to	웃토마리	湧洞	42.68083333	143.4772222
HAinu138	チウアシペッ	Ciw-as-pet	페루아?	千走	42.68555556	140.0108333
HAinu139	オホウッナイ	Oho-utnay	핫펱	大津	42.68722222	143.6483333
HAinu140	パラオタ	Para-ota	살톰옴아내	原歌	42.68777778	139+58/60+48/3600
HAinu141	オサッナイ	O-sat-nay	이찬이	長知内	42.69638889	142.2119444
HAinu142	トマリ	Tomari	포로뫼	泊	42.69972222	140.0611111
HAinu143	オリカンペッ	O-rikan-pet	케느외카	折川	42.71583333	140.1602778
HAinu144	ウッナイ	Ut-nay	칫임코	ウツナイ	42.72138889	143.6247222
HAinu145	モラプ	Mo-rap	틔마치눞	モラップ	42.72305556	141.3858333
HAinu146	フレナイ	Hure-nay	소에산펱	振内	42.72611111	142.3016667
HAinu147	ウェンナイ	Wen-nay	치키샆	植苗	42.72638889	141.7166667
HAinu148	タププコライ	Tapkop-ray	오텔케옽페	旅来	42.72638889	143.5888889
HAinu149	トアサム	To-asam	피픠	遠浅	42.72805556	141.7705556
HAinu150	イワチシ	Iwa-cis	치키샆	岩知志	42.735	142.3483333
HAinu151	ピプイ	Pi-puy	시페내	美笛	42.73527778	141.2163889
HAinu152	ルスッ	Ru-sut	웬홀카펱	留寿都	42.73777778	140.8761111
HAinu153	ｵﾛｳｪﾝｼﾘﾍﾟｯ	Oro-wen-sirpet	케리맢	御園	42.74638889	140.9886111
HAinu154	アイウシニウシイ	Ayusni-us-i	아윳니웃이	愛牛	42.74722222	143.6080556
HAinu155	ユペッ	Yu-pet	웉	湯別	42.75027778	140.2827778
HAinu156	セイオイ	Sey-o-i	오샅내	背負	42.76055556	143.5252778
HAinu157	ポペッ	Po-pet	숨운콭	穂別	42.76166667	142.1358333
HAinu158	サクシルペペ	Sak-rupespe	살루펫페	早来	42.76277778	141.8180556
HAinu159	タオロシケ	Taor-kes	오톺케?	樽岸	42.76444444	140.2522222
HAinu160	マクカリプ	Mak-kari-p	톸코니코탄	真狩	42.76638889	140.8025
HAinu161	チャシコッ	Casi-kot	앝내	安骨	42.77305556	143.5430556
HAinu162	ニセウ	Nisew	란퐄	仁世宇	42.77472222	142.3588889
HAinu163	オタスッ	Ota-sut	치래옽	歌棄	42.77694444	140.3061111
HAinu164	シリペッ	Si-ri-pet	오푼칼웃페	尻別	42.77972222	140.9433333
HAinu165	ポロピナイ	Poro-pi-nay	탄네뫼	幌美内	42.78027778	141.3105556
HAinu166	ヌカンナイ	Nukan-nay	레탈피라	糠内	42.78111111	143.3244444
HAinu167	ペッペッ	Pet-pet	신픠	美々	42.78777778	141.6758333
HAinu168	シットゥネイ	Sittuney?	눔오마내	静内	42.78888889	143.6991667
HAinu169	ウシシペッ	Usis-pet	칲오마내	牛首別	42.79055556	143.52
HAinu170	キムウンペッ	Kim-un-pet	쿤네늬	喜茂別	42.79555556	140.9358333
HAinu171	コンポヌプリ	Konpo-nupuri	모사	昆布	42.79611111	140.5986111
HAinu172	モイワ	Mo-iwa	토야	茂岩	42.80166667	143.4980556
HAinu173	タンネモイ	Tanne-moy	오탙니오맢	種前	42.80222222	140.3072222
HAinu174	ルオサンイ	Ru-o-san-i	와룬페훌	留産	42.8025	140.9222222
HAinu175	ランコウシイ	Ranko-us-i	우왙테펱	蘭越	42.80555556	140.5277778
HAinu176	アプナイ	Ap-nay	아네사라	厚内	42.80833333	143.8180556
HAinu177	ランコウシイ	Ranko-us-i	우투루치쿳이	蘭越	42.81027778	141.5894444
HAinu178	ノヤウイシ	Noya-us-i	사라	農野牛	42.81166667	143.4933333
HAinu179	トプヨカオロ	(Topuyokaoro)?	포로내	豊頃	42.81305556	143.5505556
HAinu180	レサクペッ	Re-sak-pet	웬피라	礼作別	42.81666667	143.445
HAinu181	ピヤ	Pi-ya	시랄에투	美谷	42.8275	140.3077778
HAinu182	イソヤ	Iso-ya	차시	磯谷	42.84416667	140.3272222
HAinu183	ネシシコウイ	Nesko-us-i	루펫페	根志越	42.84416667	141.6738889
HAinu184	スマオコタン	Suma-o-kotan	누사오마이	島古丹	42.85638889	140.3463889
HAinu185	ノット	Notto	샄루	能津登	42.8625	140.3511111
HAinu186	トペッ	To-pet	폰펱	途別	42.86333333	143.2330556
HAinu187	ピパイロペッ	Pipa-iro-pet	시쿠툴웃내	美生	42.86611111	143.0163889
HAinu188	トコムロオ	Tokom-or	펱펱	常室	42.86888889	143.67
HAinu189	トプッ	To-put	필올	十弗	42.86916667	143.5013889
HAinu190	オサッ〈ナイ〉	O-sat-nay	이이카웃이	長都	42.87444444	141.6313889
HAinu191	サクペッ	Sak-pet	오이찬오맢	尺別	42.87666667	143.9169444
