ja-JP	en-US	longitude	latitude
たな	Tana	127.9866667	27.06166667
たう	Tau	126.7741667	26.38138889
なかち	Nakachi	126.7458333	26.3675
あらかき	Arakaki	126.7544444	26.35555556
きま	Kima	126.7677778	26.33305556
うね	Une	126.8105556	26.35111111
ひか	Hika	126.8047222	26.33972222
しましり	Shimashiri	126.8016667	26.30722222
へと	Heto	128.2619444	26.85666667
おく	Oku	128.2869444	26.83805556
くしけん	Kushiken	127.9144444	26.69944444
せりかく	Serikaku	127.9825	26.67722222
せむらい	Semurai	128.0208333	26.66861111
あわ	Awa	127.9291667	26.61
やぶ	Yabu	127.9480556	26.60222222
なこ	Nako	127.9772222	26.59166667
かふすか	Kafusuka	128.0005556	26.62277778
えざしか	Ezashika	128.0025	26.60972222
かわかみ	Kawakami	128.0191667	26.61916667
きんか	Kinka	128.0658333	26.63416667
くし	Kushi	128.0077778	26.51555556
きせ	Kise	127.9433333	26.53472222
きん	Kin	127.9261111	26.45611111
あふそ	Afuso	127.8869444	26.49972222
おんな	Onna	127.8519444	26.49833333
やか	Yaka	127.8527778	26.45277778
おざ	Oza	127.7202778	26.42527778
とけす	Tokesu	127.7269444	26.41916667
きなわ	Kinawa	127.7566667	26.39861111
あか/ねは	Aka/Neha	127.7363889	26.3875
おおけ	Oke	127.7477778	26.38194444
くになおり	Kuninaori	127.7555556	26.36472222
やら	Yara	127.7683333	26.36583333
ちはな	Chihana	127.8058333	26.36027778
くわい	Kuwai	127.7705556	26.32444444
てくらん	Tekuran	127.8552778	26.38833333
いけばる	Ikebaru	127.8255556	26.37888889
おきん	Okin	127.8672222	26.38111111
あけなは	Akenaha	127.8527778	26.37583333
きやむ	Kiyamu	127.8472222	26.3625
おえす	Oesu	127.8575	26.35666667
くしかわ	Kushikawa	127.8705556	26.35694444
こちや	Kochiya	127.8302778	26.34361111
えす	Esu	127.8322222	26.34638889
よなくすく	Yonakusuku	127.8947222	26.33083333
やけな	Yakena	127.9144444	26.32138889
ひやこん	Hiyakon	127.825	26.31305556
きしやは	Kishiyaha	127.795	26.30083333
あたにや	Ataniya	127.7880556	26.29583333
きとむなわ	Kitomunawa	127.7636111	26.28638889
くば	Kuba	127.8147222	26.28277778
やき	Yaki	127.795	26.27194444
かかす	Kakasu	127.7377778	26.25722222
えそ	Eso	127.7266667	26.25472222
くすくま	Kusukuma	127.7111111	26.2575
なかにし	Nakanishi	127.7	26.24416667
あめく	Ameku	127.6852778	26.23777778
たくし	Takushi	127.7138889	26.23611111
あさと	Asato	127.6966667	26.21666667
おおみね	Omine	127.6438889	26.20027778
かじや	Kajiya	127.7588889	26.21611111
かみさと	Kamisato	127.7333333	26.20388889
よなば	Yonaba	127.7436111	26.20027778
さしき	Sashiki	127.7752778	26.1825
やびく	Yabiku	127.8013889	26.17611111
ちにや	Chiniya	127.8183333	26.18472222
あざま	Azama	127.8225	26.17888889
くてけん	Kuteken	127.8216667	26.17
わな	Wana	127.7933333	26.14916667
ひやくな	Hiyakuna	127.7916667	26.14166667
いなみね	Inamine	127.7441667	26.16916667
おおくすく	Okusuku	127.7563889	26.16388889
ちえねん	Chienen	127.7480556	26.14638889
やかふ	Yakafu	127.7652778	26.14694444
きすす	Kisusu	127.7155556	26.17305556
たいら	Taira	127.6944444	26.17027778
がなは	Ganaha	127.6736111	26.17972222
ほえむ	Hoemu	127.6763889	26.16472222
あはこん	Ahakon	127.6816667	26.14944444
かねくすく	Kanekusuku	127.6722222	26.13694444
おおさと	Osato	127.6927778	26.12833333
やふそ	Yafuso	127.7438889	26.12194444
はなくすく	Hanakusuku	127.7377778	26.11916667
まふに	Mafuni	127.7194444	26.09416667
いしけ	Ishike	127.6769444	26.10944444
まかび	Makabi	127.6902778	26.10472222
はひら	Hahira	127.6791667	26.10055556
ふくじ	Fukuji	127.6758333	26.09638889
こめす	Komesu	127.6972222	26.09472222
やまき/やまくすく	Yamaki/Yamakusuku	127.6811111	26.09111111
おえさと	Oesato	127.675	26.08888889
