key	longitude	latitude	max_size	first_julian_day	last_julian_day
Ryoseikoku1	130.306333	31.832	10	1977703	1978233
Ryoseikoku2	130.306333	31.832	10	1978234	1994999
Ryoseikoku3	130.306333	31.832	10	1995000	9999999
Ryoseikoku4	130.771333	31.741125	16	1981602	9999999
Ryoseikoku5	131.396908	32.102417	18	1721424	9999999
Ryoseikoku6	130.722961	32.787292	24	1721424	1956834
Ryoseikoku7	130.722961	32.787292	24	1956835	1975424
Ryoseikoku8	130.722961	32.787292	24	1975425	9999999
Ryoseikoku9	131.554139	33.194636	18	1721424	1956834
Ryoseikoku10	131.554139	33.194636	16	1956835	9999999
Ryoseikoku11	130.537908	33.295294	8	1956835	9999999
Ryoseikoku12	130.287458	33.313881	6	1975425	9999999
Ryoseikoku13	130.506656	33.520689	18	1721424	1829999
Ryoseikoku14	130.506656	33.520689	16	1830000	1956834
Ryoseikoku15	130.506656	33.520689	16	1956835	9999999
Ryoseikoku16	130.92022	33.69919	9	1956835	9999999
Ryoseikoku17	129.731722	33.769806	16	1721424	1956834
Ryoseikoku18	129.731722	33.769806	16	1956835	9999999
Ryoseikoku19	129.28753	34.20264	24	1721424	9999999
Ryoseikoku20	130.990833	33.998889	14	1721424	1963970
Ryoseikoku21	130.990833	33.998889	14	1963971	9999999
Ryoseikoku22	131.586361	34.057639	18	1721424	9999999
Ryoseikoku23	132.50453	34.39258	16	1721424	9999999
Ryoseikoku24	133.774994	34.682914	18	1721424	1958507
Ryoseikoku25	133.393861	34.563133	16	1958508	9999999
Ryoseikoku26	133.774994	34.682914	5	1958508	9999999
Ryoseikoku27	133.996656	35.07525	13	1981602	9999999
Ryoseikoku28	133.956428	34.6921	16	1958508	9999999
Ryoseikoku29	134.695822	34.834681	22	1721424	9999999
Ryoseikoku30	132.07983	34.89922	18	1721424	9999999
Ryoseikoku31	133.04853	35.46811	18	1721424	9999999
Ryoseikoku32	133.82553	35.43011	12	1721424	9999999
Ryoseikoku33	133.307367	36.224347	40	1721424	2027999
Ryoseikoku34	133.307367	36.224347	40	2028000	9999999
Ryoseikoku35	134.261903	35.470208	16	1721424	9999999
Ryoseikoku36	134.770772	35.469728	11	1967670	1981630
