key	ja-JP	ko-KR	en-US	latitude	longitude
SAinu1	ノトロ	노토로	Not-oro	45.8927	142.0808
SAinu2	コトマリ	코토마리	Kotomari	45.9036	142.0799
SAinu3	ノトロ	노토로	Not-oro	45.9062	142.0791
SAinu4	オハコタン	오하코탄	Ohakotan	45.9125	142.0616
SAinu5	シラヌシ	시라누시	Siranusi	45.9125	142.0616
SAinu6	シラヌシ	시라누시	Siranusi	45.9293	142.0371
SAinu7	クシュンエンルン	쿠순엔룸	Kus-un-enrum	45.9307	142.0277
SAinu8	ホレイ	호레	Horey	45.948	142.0172
SAinu9	シラヌシ	시라누시	Siranusi	45.9606	142.0117
SAinu10	デモ	테모	Temo	45.98	141.9902
SAinu11	チモトナイ	치모토내	Cimotonay	45.9987	142.1137
SAinu12	ペシトマナイ	페시토마내	Pesitomanay	46.0052	141.9778
SAinu13	ビシヤサン	비시야산	Bisiyasan	46.0069	142.137
SAinu14	チシヤ	치시야	Cisiya	46.0159	142.1717
SAinu15	チシヤ	칫야	Cis-ya	46.0167	142.1689
SAinu16	アカラナイ	아카라내	Akaranay	46.0194	141.9596
SAinu17	シレトコ	시레톸	Sir-etok	46.0197	143.4141
SAinu18	アカラ	아카라	Akara	46.0212	141.9603
SAinu19	ノボリ	노보리	Nobori	46.0274	142.178
SAinu20	カムイトマリ	카믜토마리	Kamuy-tomari	46.0371	141.9345
SAinu21	ホロシラ	시랄	Sirar	46.0397	143.416
SAinu22	イトフネ	이토후네	Itohune	46.0449	143.4068
SAinu23	イナホヌプリ	이나호누푸리	Inahonupuri	46.0476	142.003
SAinu24	タネヒラ	탄네피라	Tanne-pira	46.0552	143.4246
SAinu25	モゴツイ	모고틔	Mogotuy	46.0555	142.1841
SAinu26	ソウニ	소니	Soni	46.0579	141.9311
SAinu27	ウエンノチ	웬놑	Wen-not	46.0693	142.1929
SAinu28	ライトマリ	래토마리	Raytomari	46.0707	142.1894
SAinu29	チカフトマリ	치캎토마리	Cikap-tomari	46.0729	143.4028
SAinu30	モゴチ	모고치	Mogoci	46.092	142.1971
SAinu31	ノスウ	노수	Nosu	46.1011	143.4669
SAinu32	ウルイ	우릐	Uruy	46.1027	141.9354
SAinu33	モツナイ	모투내	Motunay	46.1029	142.201
SAinu34	ノスウ	노수	Nosu	46.1101	143.4597
SAinu35	ウェンチシ	웬칫	Wen-cis	46.1171	141.922
SAinu36	ウエンチシ	웬칫	Wen-cis	46.1211	141.927
SAinu37	チサフケナイ	치사후케내	Cisahukenay	46.1212	141.926
SAinu38	フチエ	후치에	Hucie	46.1245	143.4126
SAinu39	ヲソコマナイ	오소코마내	Osokomanay	46.1349	141.9252
SAinu40	チポツペ	치포투페	Cipotupe	46.1385	143.4547
