key	longitude	latitude
Wamyo1	141.1175	39.03944444
Wamyo2	141.1905556	39.09138889
Wamyo3	141.1194444	38.92138889
Wamyo4	140.9575	38.62
Wamyo5	140.9958333	38.61388889
Wamyo6	140.9955556	38.32222222
Wamyo7	140.9555556	38.2925
Wamyo8	140.8513889	38.54833333
Wamyo9	140.8152778	38.56305556
Wamyo10	140.87	38.55305556
Wamyo11	141.4388889	38.57694444
Wamyo12	141.2761111	38.55333333
Wamyo13	140.8519444	38.00666667
Wamyo14	140.8841667	37.95888889
Wamyo15	140.8763889	38.08444444
Wamyo16	140.8961111	37.92138889
Wamyo17	140.8569444	38.00583333
Wamyo18	140.9552778	38.73888889
Wamyo19	140.8716667	38.17805556
Wamyo20	140.9552778	38.17388889
Wamyo21	140.835	38.13222222
Wamyo22	140.7555556	38.61111111
Wamyo23	140.8041667	38.085
Wamyo24	140.8847222	38.44555556
Wamyo25	140.905	38.42111111
Wamyo26	140.8816667	38.64388889
Wamyo27	140.7675	38.73194444
Wamyo28	141.0222222	38.59972222
Wamyo29	140.7736111	37.94305556
Wamyo30	140.7269444	38.00277778
Wamyo31	140.7786111	37.97583333
Wamyo32	140.9758333	38.55416667
Wamyo33	140.9458333	38.52888889
Wamyo34	140.9175	38.5825
Wamyo35	141.0566667	38.59694444
Wamyo36	141.2113889	38.72083333
Wamyo37	141.1961111	38.68611111
Wamyo38	141.0725	38.655
Wamyo39	141.1788889	38.57777778
Wamyo40	141.0597222	38.55166667
Wamyo41	140.2213889	39.65222222
Wamyo42	140.0916667	39.73638889
Wamyo43	140.5327778	39.38805556
Wamyo44	140.5969444	39.51361111
Wamyo45	140.5633333	39.59416667
Wamyo46	140.53	38.96222222
Wamyo47	140.4269444	39.34555556
Wamyo48	140.0913889	39.44083333
Wamyo49	140.2875	39.30333333
Wamyo50	140.0663889	39.66972222
Wamyo51	140.0108333	38.03277778
Wamyo52	140.0388889	38.13361111
Wamyo53	140.1377778	38.07388889
Wamyo54	140.3677778	38.42861111
Wamyo55	140.33	38.22194444
Wamyo56	139.9077778	38.84638889
Wamyo57	139.9033333	38.7675
Wamyo58	139.7791667	38.82805556
Wamyo59	140.025	38.78805556
Wamyo60	139.8497222	38.84666667
Wamyo61	140.2797222	38.21555556
Wamyo62	140.0855556	38.30222222
Wamyo63	140.3022222	38.30555556
Wamyo64	139.7883333	38.72972222
Wamyo65	139.7516667	38.69138889
Wamyo66	139.7188889	38.62583333
Wamyo67	139.8475	38.64388889
Wamyo68	139.8788889	39.07111111
Wamyo69	139.9383333	38.92333333
Wamyo70	140.3827778	37.38083333
Wamyo71	140.3905556	37.44722222
Wamyo72	140.9830556	37.56027778
Wamyo73	140.9813889	37.6225
Wamyo74	140.9636111	37.65277778
Wamyo75	140.9397222	37.47111111
Wamyo76	141.0308333	37.52416667
Wamyo77	140.5619444	37.69388889
Wamyo78	140.4847222	37.74722222
Wamyo79	140.4488889	37.73111111
Wamyo80	140.3516667	37.24444444
Wamyo81	140.7983333	36.91972222
Wamyo82	140.7372222	37.00777778
Wamyo83	140.7605556	36.89166667
Wamyo84	140.7661111	36.94805556
Wamyo85	140.1916667	37.08583333
Wamyo86	140.4363889	37.02944444
Wamyo87	140.3538889	36.77055556
Wamyo88	140.4083333	36.93305556
Wamyo89	140.4683333	37.17555556
Wamyo90	140.2380556	37.14194444
Wamyo91	140.2719444	37.12833333
Wamyo92	140.905	37.01333333
Wamyo93	140.9333333	37.01722222
Wamyo94	140.8397222	36.95888889
Wamyo95	140.8791667	37.07972222
Wamyo96	140.9952778	37.2825
Wamyo97	140.9136111	37.0675
Wamyo98	139.8308333	37.46333333
Wamyo99	139.8986111	37.51416667
Wamyo100	139.8216667	37.54083333
Wamyo101	140.1494444	37.43972222
Wamyo102	139.8883333	37.2675
Wamyo103	139.8175	36.19777778
Wamyo104	139.9102778	36.09638889
Wamyo105	139.9102778	36.09638889
Wamyo106	139.8863889	36.05444444
Wamyo107	140.4819444	36.07722222
Wamyo108	140.5430556	35.99805556
Wamyo109	140.5566667	35.98611111
Wamyo110	140.4997222	35.97833333
Wamyo111	140.4158333	36.11166667
Wamyo112	140.5652778	35.92916667
Wamyo113	140.4536111	36.04361111
Wamyo114	140.425	36.08972222
Wamyo115	140.5358333	35.95527778
Wamyo116	140.435	36.06222222
Wamyo117	140.4427778	36.1275
Wamyo118	140.4886111	36.10083333
Wamyo119	140.5291667	36.04055556
Wamyo120	140.4652778	36.02083333
Wamyo121	140.4847222	35.98694444
Wamyo122	140.1536111	36.12583333
Wamyo123	140.3141667	36.21472222
Wamyo124	140.3294444	36.17194444
Wamyo125	140.2483333	36.24888889
Wamyo126	140.2061111	36.23666667
Wamyo127	140.1286111	35.96666667
Wamyo128	140.0497222	36.06944444
Wamyo129	140.5227778	36.25277778
Wamyo130	140.6036111	35.97194444
Wamyo131	140.6836111	35.87555556
Wamyo132	140.5133333	36.15416667
Wamyo133	140.4611111	36.26194444
Wamyo134	140.5713889	36.31444444
Wamyo135	140.63	35.96333333
Wamyo136	140.525	36.24805556
Wamyo137	140.6241667	35.88388889
Wamyo138	140.5877778	36.01166667
Wamyo139	140.6430556	35.94361111
Wamyo140	140.5205556	36.18916667
Wamyo141	140.6555556	35.89
Wamyo142	139.9886111	36.21027778
Wamyo143	140.2033333	36.38777778
Wamyo144	140.0463889	36.33833333
Wamyo145	139.9961111	36.35055556
Wamyo146	140.0869444	36.27111111
Wamyo147	140.1438889	36.35638889
Wamyo148	140.4869444	36.58944444
Wamyo149	140.2688889	36.63138889
Wamyo150	140.6002778	36.51
Wamyo151	140.6233333	36.51611111
Wamyo152	140.4816667	36.53111111
Wamyo153	140.5455556	36.54333333
Wamyo154	140.6491667	36.59416667
Wamyo155	140.5772222	36.52527778
Wamyo156	140.4011111	36.48361111
Wamyo157	140.4152778	36.42861111
Wamyo158	140.3558333	36.38833333
Wamyo159	140.4252778	36.36583333
Wamyo160	140.3877778	36.42111111
Wamyo161	140.4516667	36.42166667
Wamyo162	140.4355556	36.33777778
Wamyo163	140.5563889	36.47694444
Wamyo164	140.3713889	36.44055556
Wamyo165	140.5616667	36.39333333
Wamyo166	140.4738889	36.34611111
Wamyo167	140.4419444	36.39916667
Wamyo168	140.5597222	36.41666667
Wamyo169	139.9619444	36.15638889
Wamyo170	139.9669444	36.16611111
Wamyo171	139.8463889	36.23583333
Wamyo172	139.8727778	36.24666667
Wamyo173	140.2838889	35.96444444
Wamyo174	140.2569444	35.98611111
Wamyo175	140.3286111	35.95555556
Wamyo176	140.4205556	35.94888889
Wamyo177	140.2733333	35.91833333
Wamyo178	140.2355556	36.02944444
Wamyo179	140.2552778	36.03083333
Wamyo180	140.3177778	35.92722222
Wamyo181	140.2138889	36.04361111
Wamyo182	140.1480556	36.0725
Wamyo183	140.3283333	35.99555556
Wamyo184	140.7866667	36.83194444
Wamyo185	140.6744444	36.6275
Wamyo186	140.7833333	36.83138889
Wamyo187	140.7088889	36.69305556
Wamyo188	140.685	36.67555556
Wamyo189	140.5333333	36.645
Wamyo190	140.6286111	36.82
Wamyo191	140.1733333	35.86972222
Wamyo192	140.7022222	36.71027778
Wamyo193	140.3844444	36.63305556
Wamyo194	140.0947222	35.98111111
Wamyo195	140.0727778	36.03111111
Wamyo196	140.1252778	36.09444444
Wamyo197	140.4791667	36.15916667
Wamyo198	139.965	36.30805556
Wamyo199	140.4222222	36.57361111
Wamyo200	140.2502778	36.65944444
Wamyo201	140.2591667	36.53833333
Wamyo202	140.3355556	36.57138889
Wamyo203	140.3791667	36.71972222
Wamyo204	140.3772222	36.565
Wamyo205	140.4241667	36.53694444
Wamyo206	140.4288889	36.62861111
Wamyo207	140.4491667	36.50222222
Wamyo208	140.325	36.5775
Wamyo209	139.455	36.30611111
Wamyo210	139.4886111	36.30305556
Wamyo211	140.1830556	36.53333333
Wamyo212	140.0886111	36.51638889
Wamyo213	140.0608333	36.43305556
Wamyo214	140.1897222	36.57777778
Wamyo215	140.0044444	36.39472222
Wamyo216	139.8822222	36.52861111
Wamyo217	139.9105556	36.40444444
Wamyo218	139.6869444	36.72083333
Wamyo219	139.5038889	36.28305556
Wamyo220	140.0686111	36.96
Wamyo221	140.155	36.71027778
Wamyo222	140.1388889	36.815
Wamyo223	140.1108333	36.68333333
Wamyo224	140.1136111	36.76
Wamyo225	140.2141667	36.81333333
Wamyo226	139.9458333	36.75777778
Wamyo227	140.0258333	36.71861111
Wamyo228	139.9941667	36.785
Wamyo229	139.9230556	36.80583333
Wamyo230	140.0080556	36.80944444
Wamyo231	139.8077778	36.74944444
Wamyo232	139.7680556	36.26194444
Wamyo233	139.7283333	36.275
Wamyo234	139.7525	36.31972222
Wamyo235	139.8166667	36.25027778
Wamyo236	139.6986111	36.56027778
Wamyo237	139.7344444	36.46166667
Wamyo238	139.7486111	36.42972222
Wamyo239	139.5788889	36.36833333
