key	en-US	longitude	latitude	first_julian_day	last_julian_day	min_size	max_size
Roma1	ROMA	12.482778	41.893333	1446764	2100000	1	32
Roma2	COSA	11.286503	42.410919	1622080	2100000	1	32
Roma3	ARIMINUM	12.568333	44.059444	1623906	2100000	1	32
Roma4	BELUM	12.216667	46.140278	1641438	2100000	1	32
Roma5	PLACENTIA	9.700556	45.047778	1642168	2100000	1	32
Roma6	TARRACO	1.255278	41.116389	1642168	2100000	1	32
Roma7	ITALICA	-6.046667	37.443889	1646551	2100000	1	32
Roma8	MODOETIA	9.273611	45.583611	1630115	2100000	1	32
Roma9	SALERNUM	14.759444	40.680556	1649838	2100000	1	32
Roma10	BONONIA	11.342778	44.493889	1652760	2100000	1	32
Roma11	FORUM LIVII	12.05	44.233333	1653126	2100000	1	32
Roma12	REGIUM LEPIDI	10.633333	44.7	1653491	2100000	1	32
Roma13	AQUILEIA	13.371192	45.769725	1655682	2100000	1	32
Roma14	COLONIA PATRICIA CORDUBA	-4.779568	37.884507	1660065	2100000	1	32
Roma15	ASCRIVIUM	18.77	42.43	1660431	2100000	1	32
Roma16	VALENTIA EDETANORUM	-0.376389	39.47	1671388	2100000	1	32
Roma17	SCALABIS	-8.676233	39.235105	1671388	2100000	1	32
Roma18	VILLA EURACINI	-8.760833	41.38	1672118	2100000	1	32
Roma19	PALMA	2.65	39.566667	1676866	2100000	1	32
Roma20	COLONIA NARBO MARTIUS	3.0042	43.1836	1678693	2100000	1	32
Roma21	MASSA	10.133333	44.033333	1666640	2100000	1	32
Roma22	PISTORIA	10.916667	43.933333	1666640	2100000	1	32
Roma23	CONFLOENTA	-3.678611	40.285278	1687093	2100000	1	32
Roma24	GERUNDA	2.821111	41.984444	1693668	2100000	1	32
Roma25	POMPAELO	-1.65	42.816667	1694763	2100000	1	32
Roma26	NAISSUS	21.89567	43.32102	1695129	2100000	1	32
Roma27	BRIGANTIUM	-8.41	43.365	1699146	2100000	1	32
Roma28	FLORENTIA	11.254167	43.771389	1700242	2100000	1	32
Roma29	VESONTIO	6.02	47.24	1700607	2100000	1	32
Roma30	LUTETIA PARISIORUM	2.3475	48.854722	1702799	2100000	1	32
Roma31	IULIA AEMONA	14.500922	46.047694	1703529	2100000	1	32
Roma32	ATUATUCA TUNGRORUM	5.466667	50.783333	1703529	2100000	1	32
Roma33	IULIA ROMULA HISPALIS	-5.99	37.39	1703894	2100000	1	32
Roma34	AUGUSTA RAURICA	7.721389	47.533889	1705721	2100000	1	32
Roma35	NOVIODUNUM	6.238	46.381	1705721	2100000	1	32
Roma36	LUGDUNUM	4.819444	45.759722	1706086	2100000	1	32
Roma37	SISCIA	16.376111	45.487222	1709008	2100000	1	32
Roma38	MARSONIA	18.016667	45.166667	1710834	2100000	1	32
Roma39	AUGUSTA TREVERORUM	6.641389	49.756667	1710834	2100000	1	32
Roma40	CASTRA LEGIONIS	-5.57	42.605556	1713025	2100000	1	32
