key	ja-JP	en-US	longitude	latitude	min_size	max_size	first_julian_day	last_julian_day
PlaceNames1	州胡	Zhouhu	126.544687	33.378782	0.1	40	1721424	1894917
PlaceNames2	耽羅國	Tamna	126.544687	33.378782	0.1	40	1894917	2130504
PlaceNames3	濟州	Jeju	126.544687	33.378782	0.1	40	2130504	9999999
PlaceNames4	夷州	Yizhou	120.995434	23.839705	0.1	50	1721424	2086674
PlaceNames5	洛陽	Luoyang	112.4539	34.6197	0.1	50	1721424	1940208
PlaceNames6	樂浪郡	Lelang	125.709305	39.010785	0.1	30	1721424	1835690
PlaceNames7	平壤	Pyongyang	125.7475	39.016667	0.1	30	1835691	9999999
PlaceNames8	帶方郡	Daifang	126.338856	37.840585	0.1	30	1721424	1836015
PlaceNames9	馬韓	Mahan	126.908361	36.187249	0.1	40	1721424	1830999
PlaceNames10	百濟	Baekje	126.908361	36.187249	0.1	40	1830999	1962322
PlaceNames11	辰韓	Jinhan	128.891876	36.292497	0.1	40	1721424	1830999
PlaceNames12	新羅	Silla	128.891876	36.292497	0.1	40	1830999	1962322
PlaceNames13	辯韓	Byeonhan	128.198617	35.438103	0.1	29	1721424	1830999
PlaceNames14	加耶	Gaya	128.198617	35.438103	11	29	1830999	1926329
PlaceNames15	大加耶	Dae Gaya	127.636612	35.513909	0.1	11	1830999	1926329
PlaceNames16	小加耶	So Gaya	128.271913	34.851066	0.1	11	1830999	1926329
PlaceNames17	阿羅加耶	Ara Gaya	128.457101	35.248451	0.1	4	1830999	1926329
PlaceNames18	金官	Geumgwan	128.881111	35.234167	0.1	11	1721424	1830999
PlaceNames19	金官加耶	Geumgwan Gaya	128.881111	35.234167	0.1	11	1830999	1926329
PlaceNames20	韓	Han	128.198617	35.438103	40	100	1721424	1940208
PlaceNames21	于山國	Usan	130.856389	37.501111	0.1	40	1721424	9999999
PlaceNames22	倭	Wa	130.168433	33.560348	24	300	1721424	1830999
PlaceNames23	倭	Wa	133.01266	34.954519	24	300	1830999	1867524
PlaceNames24	倭	Wa	135.656384	34.61824	24	300	1867524	1977221
PlaceNames25	日本	Nippon	135.656384	34.61824	24	300	1977221	9999999
