id	name	ja-JP	region	min_pop_placed_per_cell	max_pop_placed_per_cell	init_pop	immigrant	increased_immigration	mtdna_region	language_region	pop_ad725	directions	direction_min_distance	language	hunter_gatherer	farming	snp	agricultural_capable
1	渡島	渡島	1	15	35	1048	0	0	epijomon	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	255	0
2	檜山	檜山	1	15	35	1048	0	0	epijomon	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	255	0
3	奥尻島	奥尻島	1	50	180	173	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
4	後志(内陸部)	後志(内陸部)	1	15	35	2464	0	0	epijomon	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	255	0
5	後志(沿岸部)	後志(沿岸部)	1	50	180	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
6	石狩(内陸部)	石狩(内陸部)	1	15	35	2464	0	0	epijomon	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	255	0
7	石狩(沿岸部)	石狩(沿岸部)	1	50	180	87	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
8	空知	空知	1	15	35	0	0	0	epijomon	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	255	0
9	胆振	胆振	1	15	35	2464	0	0	epijomon	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	255	0
10	日高	日高	1	15	35	0	0	0	epijomon	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	255	0
11	宗谷(内陸部)	宗谷(内陸部)	1	15	35	0	0	0	epijomon	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	255	0
12	宗谷(沿岸部)	宗谷(沿岸部)	1	50	180	433	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
13	留萌(内陸部)	留萌(内陸部)	1	15	35	0	0	0	epijomon	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	255	0
14	留萌(沿岸部)	留萌(沿岸部)	1	50	180	87	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
15	上川	上川	1	15	35	0	0	0	epijomon	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	255	0
16	利尻島・礼文島	利尻島・礼文島	1	50	180	346	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
17	オホーツク(内陸部)	オホーツク(内陸部)	1	15	35	0	0	0	epijomon	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	255	0
18	オホーツク(沿岸部)	オホーツク(沿岸部)	1	50	180	433	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
19	十勝	十勝	1	15	35	0	0	0	epijomon	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	255	0
20	釧路	釧路	1	15	35	0	0	0	epijomon	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	255	0
21	根室(内陸部)	根室(内陸部)	1	15	35	0	0	0	epijomon	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	255	0
22	根室(沿岸部)	根室(沿岸部)	1	50	180	606	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
23	歯舞群島	歯舞群島	2	50	180	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
24	色丹島	色丹島	2	50	180	87	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
25	国後島	国後島	2	50	180	346	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
26	択捉島	択捉島	2	50	180	346	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
27	ネベリスク	ネベリスク	3	50	180	433	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
28	ホルムスク	ホルムスク	3	50	180	87	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
29	トマリ	トマリ	3	50	180	87	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
30	ウグレゴルスク	ウグレゴルスク	3	50	180	87	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
31	アニワ	アニワ	3	50	180	260	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
32	コルサコフ	コルサコフ	3	50	180	433	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
33	ユジノサハリンスク	ユジノサハリンスク	3	50	180	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
34	ドリンスク	ドリンスク	3	50	180	87	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
35	マカロフ	マカロフ	3	50	180	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
36	ポロナイスク	ポロナイスク	3	50	180	87	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
37	null	null	4	50	180	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
38	null	null	4	50	180	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
39	null	null	4	50	180	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
40	null	null	4	50	180	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
41	null	null	4	50	180	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
42	null	null	4	50	180	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
43	null	null	4	50	180	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
44	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
45	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
46	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
47	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
48	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
49	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
50	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
51	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
52	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
53	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
54	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
55	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
56	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
57	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
58	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
59	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
60	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
61	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
62	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
63	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
64	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
65	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
66	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
67	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	2	255	0	0	0
68	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	2	255	0	0	0
69	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	2	255	0	0	0
70	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	3	255	0	0	0
71	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	2	255	0	0	0
72	null	null	4	4	35	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	2	255	0	0	0
73	null	null	4	0	0	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	3	255	0	0	0
74	null	null	4	4	20	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	2	255	0	0	0
75	null	null	4	4	20	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	2	255	0	0	0
76	null	null	4	4	20	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	2	255	0	0	0
77	null	null	4	4	20	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	2	255	0	0	0
78	null	null	4	4	20	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	2	255	0	0	0
79	null	null	4	4	20	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	2	255	0	0	0
80	null	null	4	4	20	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	2	255	0	0	0
81	null	null	4	4	20	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	2	255	0	0	0
82	null	null	4	4	20	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	0	0
83	null	null	4	4	20	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	0	0
84	null	null	4	4	20	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	0	0
85	null	null	4	4	20	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	0	0
86	null	null	4	4	20	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	0	0
87	null	null	4	4	20	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	1	255	0	0	0
88	null	null	4	4	20	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
89	null	null	4	4	20	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
90	null	null	4	4	20	0	0	0	okhotsk	test1	0	1/1/1/1/1/1/1/1	160	0	255	0	0	0
