age	hunter_gatherer	agricultural
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0.1230	0.1225
16	0.1230	0.1225
17	0.1230	0.1225
18	0.1230	0.1225
19	0.1230	0.1225
20	0.2606	0.2597
21	0.2606	0.2597
22	0.2606	0.2597
23	0.2606	0.2597
24	0.2606	0.2597
25	0.2719	0.2709
26	0.2719	0.2709
27	0.2719	0.2709
28	0.2719	0.2709
29	0.2719	0.2709
30	0.2200	0.2192
31	0.2200	0.2192
32	0.2200	0.2192
33	0.2200	0.2192
34	0.2200	0.2192
35	0.1625	0.1619
36	0.1625	0.1619
37	0.1625	0.1619
38	0.1625	0.1619
39	0.1625	0.1619
40	0.0700	0.0697
41	0.0700	0.0697
42	0.0700	0.0697
43	0.0700	0.0697
44	0.0700	0.0697
45	0.0027	0.0027
46	0.0181	0.0180
47	0.0181	0.0180
48	0.0181	0.0180
49	0.0181	0.0180
50	0.0181	0.0180
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
