id	name	ja-JP	region	min_pop_placed_per_cell	max_pop_placed_per_cell	init_pop	immigrant	increased_immigration	mtdna_region	pop_ad725	directions	direction_min_distance
1	satsuma	薩摩	2	4	20	220	0	0	kyushu_jomon	38400	1/1/1/1/1/1/1/1	160
2	osumi	大隅	2	4	20	220	0	0	kyushu_jomon	40600	1/1/1/1/1/1/1/1	160
3	hyuga	日向	2	4	20	220	0	0	kyushu_jomon	30800	1/1/1/1/1/1/1/1	160
4	higo	肥後	2	4	20	2400	0	0	kyushu_jomon	108700	1/1/1/1/1/1/1/1	160
5	bungo	豊後	3	4	20	340	0	0	kyushu_jomon	51600	1/1/1/1/1/1/1/1	160
6	chikugo	筑後	3	4	20	480	0	0	kyushu_jomon	59300	1/1/1/1/1/1/1/1	160
7	hizen	肥前	3	4	20	1210	0	0	kyushu_jomon	48300	1/1/1/1/1/1/1/1	160
8	chikuzen	筑前	3	4	20	480	10	0	kyushu_jomon	112000	1/1/1/1/1/1/1/1	160
9	buzen	豊前	3	4	20	420	0	0	kyushu_jomon	47200	1/1/1/1/1/1/1/1	160
10	iki	壱岐	3	4	20	80	0	0	kyushu_jomon	12100	1/1/1/1/1/1/1/1	160
11	tsushima	対馬	3	4	20	80	0	0	kyushu_jomon	9900	1/1/1/1/1/1/1/1	160
12	nagato	長門	5	4	20	50	0	0	chugoku_jomon	43900	1/1/1/1/1/1/1/1	160
13	suo	周防	5	4	20	50	0	0	chugoku_jomon	49400	1/1/1/1/1/1/1/1	160
14	aki	安芸	5	4	20	190	0	0	chugoku_jomon	69200	1/1/1/1/1/1/1/1	160
15	bingo	備後	5	4	20	190	0	0	chugoku_jomon	71400	1/1/1/1/1/1/1/1	160
16	bitchu	備中	5	4	20	200	0	0	chugoku_jomon	79100	1/1/1/1/1/1/1/1	160
17	mimasaka	美作	5	4	20	200	0	0	chugoku_jomon	70300	1/1/1/1/1/1/1/1	160
18	bizen	備前	5	4	20	180	0	0	chugoku_jomon	56000	1/1/1/1/1/1/1/1	160
19	harima	播磨	7	4	20	70	0	0	kinki_jomon	107600	1/1/1/1/1/1/1/1	160
20	iwami	石見	6	4	20	410	0	0	chugoku_jomon	40600	1/1/1/1/1/1/1/1	160
21	izumo	出雲	6	4	20	410	0	0	chugoku_jomon	85700	1/1/1/1/1/1/1/1	160
22	hoki	伯耆	6	4	20	50	0	0	chugoku_jomon	52700	1/1/1/1/1/1/1/1	160
23	oki	隠岐	6	4	20	110	0	0	chugoku_jomon	13200	1/1/1/1/1/1/1/1	160
24	inaba	因幡	6	4	20	50	0	0	chugoku_jomon	54900	1/1/1/1/1/1/1/1	160
25	tajima	但馬	6	4	20	70	0	0	chugoku_jomon	64800	1/1/1/1/1/1/1/1	160
26	tango	丹後	6	4	20	60	0	0	chugoku_jomon	38400	1/1/1/1/1/1/1/1	160
27	tanba	丹波	7	4	20	60	0	0	kinki_jomon	74700	1/1/1/1/1/1/1/1	160
28	iyo	伊予	4	4	20	370	0	0	shikoku_jomon	79100	1/1/1/1/1/1/1/1	160
29	tosa	土佐	4	4	20	50	0	0	shikoku_jomon	47200	1/1/1/1/1/1/1/1	160
30	awa	阿波	4	4	20	50	0	0	shikoku_jomon	50500	1/1/1/1/1/1/1/1	160
31	sanuki	讃岐	4	4	20	50	0	0	shikoku_jomon	98800	1/1/1/1/1/1/1/1	160
32	awaji	淡路	7	4	20	70	0	0	kinki_jomon	18700	1/1/1/1/1/1/1/1	160
33	kii	紀伊	7	4	20	440	0	0	kinki_jomon	61500	1/1/1/1/1/1/1/1	160
34	yamato	大和	8	4	20	610	0	0	kinki_jomon	171700	1/1/1/1/1/1/1/1	160
35	kawachi	河内	8	4	20	60	0	0	kinki_jomon	87900	1/1/1/1/1/1/1/1	160
36	yamashiro	山城	8	4	20	60	0	0	kinki_jomon	85700	1/1/1/1/1/1/1/1	160
37	izumi	和泉	8	4	20	60	0	0	kinki_jomon	26400	1/1/1/1/1/1/1/1	160
38	settsu	摂津	8	4	20	60	0	0	kinki_jomon	85700	1/1/1/1/1/1/1/1	160
39	wakasa	若狭	11	4	20	40	0	0	chubu_jomon	23100	1/1/1/1/1/1/1/1	160
40	echizen	越前	11	4	20	40	0	0	chubu_jomon	60400	1/1/1/1/1/1/1/1	160
41	kaga	加賀	11	4	20	270	0	0	chubu_jomon	32900	1/1/1/1/1/1/1/1	160
42	etchu	越中	11	4	20	860	0	0	chubu_jomon	46100	1/1/1/1/1/1/1/1	160
43	noto	能登	11	4	20	270	0	0	chubu_jomon	28600	1/1/1/1/1/1/1/1	160
44	echigo	越後	11	4	20	3290	0	0	chubu_jomon	37300	1/1/1/1/1/1/1/1	160
45	sado	佐渡	11	4	20	470	0	0	chubu_jomon	24200	1/1/1/1/1/1/1/1	160
46	shima	志摩	7	4	20	150	0	0	kinki_jomon	154000	1/1/1/1/1/1/1/1	160
47	ise	伊勢	7	4	20	150	0	0	kinki_jomon	103200	1/1/1/1/1/1/1/1	160
48	iga	伊賀	7	4	20	150	0	0	kinki_jomon	19800	1/1/1/1/1/1/1/1	160
49	owari	尾張	9	4	20	2510	0	0	chubu_jomon	75800	1/1/1/1/1/1/1/1	160
50	mikawa	参河	9	4	20	2510	0	0	chubu_jomon	75800	1/1/1/1/1/1/1/1	160
51	totomi	遠江	9	4	20	570	0	0	chubu_jomon	105400	1/1/1/1/1/1/1/1	160
52	suruga	駿河	9	4	20	570	0	0	chubu_jomon	64800	1/1/1/1/1/1/1/1	160
53	izu	伊豆	9	4	20	560	0	0	chubu_jomon	23100	1/1/1/1/1/1/1/1	160
54	kai	甲斐	10	4	20	440	0	0	chubu_jomon	34000	1/1/1/1/1/1/1/1	160
55	sagami	相模	12	4	20	280	0	0	kanto_jomon	73600	1/1/1/1/1/1/1/1	160
56	musashi	武蔵	12	4	20	2650	0	0	kanto_jomon	130700	1/1/1/1/1/1/1/1	160
57	shimosa	下総	12	4	20	690	0	0	kanto_jomon	99900	1/1/1/1/1/1/1/1	160
58	kazusa	上総	12	4	20	270	0	0	kanto_jomon	83500	1/1/1/1/1/1/1/1	160
59	awa1	安房	12	4	20	270	0	0	kanto_jomon	35100	1/1/1/1/1/1/1/1	160
60	hitachi	常陸	13	4	20	1220	0	0	kanto_jomon	168000	1/1/1/1/1/1/1/1	160
61	omi	近江	7	4	20	150	0	0	kinki_jomon	102100	1/1/1/1/1/1/1/1	160
