age	hunter_gatherer_male_ndx	hunter_gatherer_female_ndx	agricultural_male_ndx	agricultural_female_ndx
0	26	26	26	26
1	2.576923542	2.560559872	2.528471239	2.539250775
2	1.891652727	1.885754123	1.885823145	1.886104304
3	1.411161969	1.41042377	1.425266545	1.420669854
4	1.076906951	1.078662011	1.096991088	1.091213313
5	0.8483094291	0.8495058152	0.8644764799	0.859785395
6	0.6932308745	0.6932421993	0.7010105913	0.6986841042
7	0.5886269757	0.5870003042	0.5859697048	0.5865244848
8	0.5146583655	0.5111225684	0.5021802224	0.5052984978
9	0.4559198378	0.4516466439	0.437597067	0.4423427946
10	0.4015885373	0.3969303248	0.3827017099	0.3874798787
11	0.3450860633	0.3418450562	0.3327498855	0.3358549923
12	0.2892955669	0.2885659354	0.2878580606	0.2882192398
13	0.2401267367	0.2415456075	0.2499085893	0.2472478998
14	0.2042759551	0.2077324607	0.2232793782	0.2181689007
15	0.1869005437	0.1911574984	0.2112136982	0.2045487431
16	0.1921519211	0.1967305543	0.2180264298	0.2109919397
17	0.2305793606	0.2342844684	0.2510308687	0.2457158062
18	0.3243980664	0.3233861922	0.3211644774	0.3223516395
19	0.5223403341	0.5068929443	0.4476241175	0.4668320205
20	0.9005706937	0.8398734478	0.642955861	0.7021770558
21	1.505962276	1.354479766	0.8954557823	1.024797678
22	2.244517653	1.95897399	1.145093239	1.362562068
23	2.791758197	2.388650902	1.29331412	1.576368382
24	2.891176332	2.472649361	1.304647749	1.602773118
25	2.619869619	2.248273291	1.210265487	1.476742878
26	2.22331726	1.93143546	1.089735864	1.308988327
27	1.910780788	1.684734017	1.003560685	1.183585681
28	1.739991304	1.547555348	0.9660519456	1.121134014
29	1.706161591	1.526451549	0.9790814961	1.125229841
30	1.787980913	1.594105667	1.022076134	1.173922021
31	1.947774765	1.720570414	1.067969527	1.239242898
32	2.145131136	1.868583311	1.09335387	1.29356441
33	2.325770139	1.992149671	1.081209284	1.311898561
34	2.438793943	2.061370568	1.043852618	1.297118137
35	2.451582156	2.059846213	1.003675058	1.264850718
36	2.358511935	1.995347214	0.9870222781	1.239429479
37	2.181566673	1.886728283	1.018307013	1.243622452
38	1.955360951	1.753818782	1.107716116	1.284257031
39	1.715772183	1.613558704	1.262914374	1.362008387
40	1.489754964	1.477577692	1.47012015	1.46146232
41	1.294023254	1.353177016	1.69021922	1.556335193
42	1.133885195	1.243200801	1.869856529	1.620760623
43	1.008133132	1.148237536	1.952294314	1.63285771
44	0.9125884077	1.066834588	1.927939318	1.593627699
45	0.8419946156	0.9971233749	1.824541918	1.518158897
46	0.7921794096	0.938278885	1.690912431	1.429731737
47	0.75993222	0.8901982664	1.572317046	1.350538392
48	0.7435757493	0.8554325354	1.491579782	1.29419987
49	0.7427256195	0.8376239031	1.460336033	1.269523491
50	0.7573759558	0.8411708007	1.480881949	1.280609307
51	0.7875672897	0.8711244734	1.552570249	1.329952968
52	0.8307598237	0.9269752538	1.667440007	1.413223263
53	0.8798570785	1.003030335	1.808211613	1.519005851
54	0.9219039032	1.079174438	1.938533183	1.619922948
55	0.9374034619	1.121813587	2.005286547	1.674605118
56	0.9083603451	1.099391642	1.960394387	1.645127682
57	0.8263309192	0.9977687323	1.78408431	1.513493777
58	0.7005451289	0.8401347311	1.509402336	1.303403132
59	0.554657176	0.666310501	1.197635201	1.060937256
60	0.4137013436	0.5093792299	0.9059199276	0.830096336
61	0.2948928781	0.3854967326	0.6661501012	0.6371300542
62	0.2037506785	0.2953201515	0.4863267145	0.4893241103
63	0.1381837169	0.2334801289	0.3603981282	0.3834590434
64	0.09293795406	0.1934991267	0.2772334736	0.3122943839
65	0.06246402385	0.1702421331	0.2265859647	0.2690065733
66	0.04214760924	0.1598347948	0.1996559032	0.24749379
67	0.02859748969	0.1597430469	0.1907665401	0.2436374569
68	0.01951760855	0.1674435913	0.1954659113	0.2533945497
69	0.04361425264	0.1791357051	0.2087720896	0.2709507811
70	0.0001544508478	0.1893322255	0.2239863406	0.2878788335
71	0.0000000817450308	0.1907418394	0.2310622647	0.2923247378
72	0	0.1796769479	0.223181557	0.2775479659
73	0	0.1581913709	0.2005830902	0.2458131073
74	0	0.1322371044	0.1699087605	0.2061547517
75	0	0.1083037648	0.1399956862	0.1690326913
76	0	0.08929722337	0.1154094643	0.1393282248
77	0	0.07575345557	0.09746371498	0.1180965389
78	0	0.06675603825	0.08524773907	0.1039773165
79	0	0.06077025167	0.07688006954	0.0945750587
80	0	0.05652388649	0.07077326519	0.0878933148
81	0	0.05279517599	0.06541735863	0.08200928106
82	0	0.04887911125	0.05996920663	0.07581988343
83	0	0.0445791669	0.05420887359	0.06902712158
84	0	0.04001520037	0.04828309842	0.06183082058
85	0	0.03557128315	0.0426287531	0.05484058067
86	0	0.03151984831	0.03753956122	0.04848338453
87	0	0.02801246334	0.03316405062	0.04299129826
88	0	0.02506099045	0.0294930666	0.03837651568
89	0	0.0225602399	0.02638997809	0.03446951949
90	0	0.02039999224	0.02371818026	0.03109532679
91	0	0.01846496548	0.02134077181	0.02807357705
92	0	0.01668301939	0.01917205408	0.02529267959
93	0	0.01502662783	0.01717727417	0.02271123008
94	0	0.01348857305	0.01534431272	0.02031909869
95	0	0.01208096982	0.01368197155	0.01813534979
96	0	0.01081016752	0.01219271252	0.01616929834
97	0	0.009675362966	0.0108713904	0.01441859715
98	0	0.008668553296	0.009705586134	0.01286965607
99	0	0.007774123144	0.008675285202	0.01149731007
100	0	0.06605201626	0.07310148804	0.09312489753
