age	jomon_male_ndx	jomon_female_ndx	yayoi_male_ndx	yayoi_female_ndx
0	30	30	30	30
1	2.437705134	2.422221692	2.391664237	2.402062336
2	1.78945613	1.783878323	1.783796459	1.784209906
3	1.334924021	1.334230387	1.348162321	1.343924269
4	1.018727091	1.020392441	1.037648899	1.032267532
5	0.802479272	0.80361532	0.817713344	0.81334164
6	0.655778375	0.655791861	0.663089697	0.660941915
7	0.556825112	0.555287235	0.554270665	0.554839259
8	0.486852049	0.483506373	0.475012313	0.477999064
9	0.431286386	0.427241682	0.413921596	0.418442538
10	0.379890123	0.375480512	0.36199534	0.366542513
11	0.326440371	0.323371647	0.314746101	0.317706727
12	0.273664438	0.272972387	0.272283859	0.272645501
13	0.227152567	0.228494286	0.236388819	0.233889181
14	0.193239192	0.196509734	0.211201647	0.206382746
15	0.176802932	0.18083179	0.199790013	0.193499826
16	0.181770948	0.186105135	0.206235376	0.199596173
17	0.218122631	0.221631598	0.237455448	0.232445229
18	0.30687301	0.305921021	0.303795888	0.30494173
19	0.494121381	0.479514382	0.423414456	0.441616446
20	0.851916615	0.794502894	0.608177675	0.664244346
21	1.424597695	1.281297953	0.847014532	0.969428944
22	2.123243782	1.853118085	1.083143842	1.288936974
23	2.640908518	2.259568974	1.22334685	1.491187448
24	2.734948092	2.339028266	1.234072146	1.516167154
25	2.478298002	2.12678264	1.144802036	1.396951423
26	2.103173353	1.827071636	1.030797587	1.238265276
27	1.807526449	1.593703948	0.949286702	1.119640269
28	1.645967406	1.463937761	0.913807667	1.06056258
29	1.613966771	1.443971372	0.926131516	1.064434539
30	1.691364255	1.507964485	0.966798629	1.110491657
31	1.842519231	1.627588623	1.010207701	1.172278342
32	2.029201896	1.767595875	1.034218125	1.223660583
33	2.200065547	1.884478782	1.022731479	1.241001967
34	2.306966127	1.94995506	0.987397994	1.227020118
35	2.319052333	1.948511324	0.949396937	1.196497467
36	2.231009411	1.887497335	0.933648277	1.172451165
37	2.063633009	1.784747726	0.963244019	1.176417896
38	1.849662209	1.659019816	1.04782017	1.214855668
39	1.623028808	1.526338079	1.194627061	1.288402816
40	1.409226715	1.397704032	1.39062875	1.382478267
41	1.22406508	1.28002472	1.59882713	1.472219417
42	1.072568002	1.175990741	1.768753534	1.533158667
43	0.953597564	1.086158829	1.846739038	1.544598672
44	0.863205559	1.009154763	1.823708068	1.507486837
45	0.796424567	0.943210818	1.725908514	1.436095705
46	0.749309739	0.887546418	1.59950999	1.352446875
47	0.718824301	0.842064123	1.487330769	1.277532464
48	0.70337853	0.809176925	1.410961593	1.224237062
49	0.702602234	0.792330015	1.381409887	1.200891855
50	0.716481905	0.795683896	1.400848971	1.211375297
51	0.745044982	0.824016534	1.468668084	1.258048175
52	0.785880921	0.876845521	1.577337844	1.336813219
53	0.832274594	0.948785429	1.710513546	1.436872811
54	0.871980345	1.020808086	1.833807319	1.532328581
55	0.88658257	1.061135757	1.896968739	1.584047052
56	0.859087487	1.039919578	1.854514709	1.556154509
57	0.78152153	0.943786462	1.687737838	1.431629198
58	0.662597209	0.794674622	1.427898664	1.232892595
59	0.524652985	0.630252194	1.132974556	1.003536444
60	0.391348654	0.481811993	0.857017245	0.785181167
61	0.278968582	0.364634353	0.630198421	0.602655117
62	0.192746591	0.279339354	0.460086918	0.462847725
63	0.130716415	0.220847284	0.340958277	0.362712193
64	0.087911997	0.183030724	0.262283331	0.295399004
65	0.059083993	0.161032325	0.214369145	0.254453411
66	0.03986605	0.151187331	0.188891595	0.234103668
67	0.027049047	0.151098625	0.180480534	0.230453855
68	0.018460498	0.158379372	0.184924333	0.239679595
69	0.041234224	0.169434873	0.197510171	0.256281492
70	0.000146375	0.179075981	0.211901598	0.27228928
71	0.00000007768994035	0.180407873	0.218595877	0.276492496
72	0	0.169943384	0.21114322	0.262516494
73	0	0.149624169	0.189768335	0.232502444
74	0	0.12507817	0.160752581	0.194993998
75	0	0.102442262	0.13245485	0.159883167
76	0	0.084464904	0.109194615	0.131786838
77	0	0.071653458	0.092215395	0.111703462
78	0	0.063141588	0.080656337	0.09834685
79	0	0.057478158	0.072738066	0.089451728
80	0	0.053460216	0.066959162	0.083130151
81	0	0.049932576	0.061891463	0.077563894
82	0	0.046228586	0.05673737	0.071709793
83	0	0.042162199	0.051288511	0.065285754
84	0	0.037846429	0.045683276	0.058480348
85	0	0.03364408	0.040334494	0.051869619
86	0	0.029812584	0.035519858	0.045857162
87	0	0.026495249	0.031379928	0.040662453
88	0	0.023703378	0.02790621	0.036297154
89	0	0.021337669	0.024969709	0.032601186
90	0	0.019294027	0.022441381	0.029409245
91	0	0.01746355	0.020191846	0.026550903
92	0	0.01577806	0.018140045	0.023920666
93	0	0.014211485	0.016252987	0.021479294
94	0	0.012756934	0.014519076	0.019217095
95	0	0.011425773	0.012946487	0.01715196
96	0	0.010223948	0.01153748	0.015292617
97	0	0.009150679	0.010287199	0.013636824
98	0	0.008198401	0.00918395	0.012171745
99	0	0.007352375	0.008208899	0.010873638
100	0	0.06246772	0.069174862	0.088069649
