id	name	ja-JP	region	min_pop_placed_per_cell	max_pop_placed_per_cell	init_pop	immigrant	increased_immigration	mtdna_region	ydna_region	language_region	pop_ad725	directions	direction_min_distance	language	hunter_gatherer	farming	snp	agricultural_capable	current_costs	pottery_lineage_initial
1	satsuma	薩摩	2	4	20	220	0	0	kyushu_jomon	jomon	satsuma	38400	1/1/2/4/4/2/4/1	160	1	255	0	0	1	0.6/1.2/7/4/5/1.2/0.6/0.25	C
2	osumi	大隅	2	4	20	220	0	0	kyushu_jomon	jomon	osumi	40600	1/2/2/2/4/2/2/2	160	1	255	0	0	1	0.6/1.2/7/4/5/1.2/0.6/0.25	C
3	hyuga	日向	2	4	20	220	0	0	kyushu_jomon	jomon	hyuga	30800	10/4/1/1/1/1/1/1	160	1	255	0	0	1	0.6/1.2/7/4/5/1.2/0.6/0.25	C
4	higo	肥後	2	4	20	2400	0	0	kyushu_jomon	jomon	higo	108700	10/4/1/1/1/1/1/4	160	1	255	0	0	1	0.6/1.2/3.5/4/5/1.2/0.6/0.35	C
5	bungo	豊後	3	4	20	340	0	0	kyushu_jomon	jomon	bungo	51600	10/4/1/1/1/1/1/2	160	0	255	0	0	1	0.8/0.9/1.2/1.2/1.4/1.2/1.2/0.9	C
6	chikugo	筑後	3	4	20	480	0	0	kyushu_jomon	jomon	chikugo	59300	10/10/1/2/2/1/1/2	160	0	255	0	0	1	0.6/1.2/3.5/4/5/1.2/0.6/0.35	C
7	hizen	肥前	3	4	20	1210	0	0	kyushu_jomon	jomon	hizen	48300	4/4/4/4/1/1/1/1	160	0	255	0	0	1	0.6/1.2/3.5/4/5/1.2/0.6/0.35	C
8	chikuzen	筑前	3	4	20	480	120	0	kyushu_jomon	jomon	chikuzen	112000	4/4/1/1/1/1/4/10	160	0	255	0	0	1	0.6/1.2/35/40/50/1.2/0.6/0.35	C
9	buzen	豊前	3	4	20	420	0	0	kyushu_jomon	jomon	buzen	47200	10/2/1/1/1/1/1/2	160	0	255	0	0	1	0.8/0.9/1.2/1.2/1.4/1.2/1.2/0.9	C
10	iki	壱岐	3	4	20	80	0	0	kyushu_jomon	jomon	iki	12100	4/4/1/1/2/1/1/1	160	0	255	0	0	1	0.6/1.2/3.5/4/5/1.2/0.6/0.35	C
11	tsushima	対馬	3	4	20	80	0	0	kyushu_jomon	jomon	tsushima	9900	1/1/1/4/4/1/1/1	160	0	255	0	0	1	0.6/1.2/3.5/4/5/1.2/0.6/0.35	C
12	nagato	長門	5	4	20	50	0	0	chugoku_jomon	jomon	nagato	43900	2/2/1/1/1/2/10/10	160	0	255	0	0	1	0.6/1.2/3.5/4/5/1.2/0.6/0.35	C
13	suo	周防	5	4	20	50	0	0	chugoku_jomon	jomon	suo	49400	1/1/2/1/1/2/10/10	160	0	255	0	0	1	0.8/0.9/1.2/1.2/1.4/1.2/1.2/0.9	C
14	aki	安芸	5	4	20	190	0	0	chugoku_jomon	jomon	aki	69200	1/1/1/2/1/4/10/10	160	0	255	0	0	1	0.8/0.9/1.2/1.2/1.4/1.2/1.2/0.9	C
15	bingo	備後	5	4	20	190	0	0	chugoku_jomon	jomon	bingo	71400	1/1/1/1/1/2/10/4	160	0	255	0	0	1	0.8/0.9/1.2/1.2/1.4/1.2/1.2/0.9	C
16	bitchu	備中	5	4	20	200	0	0	chugoku_jomon	jomon	bitchu	79100	1/1/1/1/1/2/10/4	160	0	255	0	0	1	0.8/0.9/1.2/1.2/1.4/1.2/1.2/0.9	C
17	mimasaka	美作	5	4	20	200	0	0	chugoku_jomon	jomon	mimasaka	70300	2/2/1/2/2/2/1/2	160	0	255	0	0	1	1/1/1/1/1/1/1/1	C
18	bizen	備前	5	4	20	180	0	0	chugoku_jomon	jomon	bizen	56000	2/1/1/1/4/4/10/4	160	0	255	0	0	1	0.8/0.9/1.2/1.2/1.4/1.2/1.2/0.9	C
