age	hunter_gatherer_male_ndx	hunter_gatherer_female_ndx	agricultural_male_ndx	agricultural_female_ndx
0	29	29	29	29
1	2.472003233	2.456819765	2.425844761	2.436330977
2	1.814644534	1.809356786	1.809289166	1.809663919
3	1.353720601	1.353285578	1.367429085	1.36309693
4	1.033075082	1.034964911	1.052478129	1.046994087
5	0.8137840001	0.8150918537	0.8293996757	0.8249452023
6	0.665018294	0.6651575943	0.6725666027	0.6703717081
7	0.5646722735	0.5632181547	0.5621927713	0.5627558491
8	0.4937143859	0.4904127313	0.4818020232	0.4848198913
9	0.4373665737	0.433344965	0.4198384244	0.4244140527
10	0.3852465362	0.380844754	0.3671700539	0.3717736988
11	0.3310436336	0.3279915215	0.3192453147	0.3222410054
12	0.2775236933	0.2768720313	0.2761758302	0.2765364993
13	0.2303559149	0.2317581359	0.2397673369	0.2372267429
14	0.1959641979	0.1993162611	0.2142197786	0.2093274037
15	0.1792960476	0.1834139685	0.2026446988	0.1962602926
16	0.1843340383	0.1887622425	0.2091818783	0.2024433088
17	0.2211983302	0.2247957013	0.240847886	0.2357607953
18	0.3112004556	0.3102885427	0.3081362876	0.3092915247
19	0.5010904031	0.4863609875	0.4294645499	0.4479165302
20	0.8639350161	0.8058488734	0.6168690681	0.6737219306
21	1.44470313	1.2995989	0.8591206987	0.9832632043
22	2.153226263	1.87959	1.098626158	1.307333078
23	2.678228239	2.291848841	1.240833194	1.512471363
24	2.77362857	2.372442682	1.251710645	1.537807577
25	2.513377363	2.157162939	1.161162926	1.416889447
26	2.132965177	1.853168558	1.045527689	1.255937596
27	1.833147546	1.616466214	0.9628511114	1.135619233
28	1.66931314	1.484846174	0.9268648689	1.07569868
29	1.636873075	1.464595098	0.9393652073	1.079626845
30	1.715385275	1.529503362	0.9806141954	1.126342746
31	1.868706871	1.650837641	1.024644365	1.189012954
32	2.058068079	1.792846236	1.048998373	1.241130092
33	2.231393934	1.911399749	1.037347454	1.258719947
34	2.339854542	1.977811693	1.001508435	1.244538887
35	2.352155351	1.976347117	0.9629634935	1.213580541
36	2.262899555	1.914461097	0.9469889624	1.189190966
37	2.093172975	1.810243394	0.9770069912	1.193214625
38	1.876177409	1.682719409	1.062791306	1.232201891
39	1.646327685	1.548142531	1.211695887	1.30680036
40	1.429483069	1.417671309	1.410498463	1.402220768
41	1.24168128	1.298311331	1.621672032	1.493245334
42	1.088021159	1.192791549	1.794026443	1.55505679
43	0.967350983	1.101676613	1.873125583	1.566661869
44	0.8756678438	1.023572677	1.849764341	1.529021346
45	0.8079344441	0.9566867851	1.750566078	1.45661162
46	0.7601501223	0.9002272373	1.622360482	1.371768957
47	0.7292349245	0.8540952273	1.508577792	1.2957855
48	0.7135763557	0.820738236	1.43111711	1.241729983
49	0.7127986685	0.8036506852	1.401142921	1.218052689
50	0.7268881631	0.8070525262	1.420859328	1.228687544
51	0.7558729688	0.8357899985	1.489646526	1.27602914
52	0.7973100088	0.8893738375	1.599867339	1.355921815
53	0.8443922994	0.9623417424	1.734943415	1.457413852
54	0.8847043346	1.035393805	1.859995885	1.554237024
55	0.8995706713	1.076298387	1.92405722	1.60669867
56	0.8717453545	1.054780071	1.880995382	1.578411904
57	0.7931167496	0.9572743613	1.711836214	1.452110613
58	0.6724930305	0.8060324584	1.448286292	1.250535471
59	0.5325199576	0.63926051	1.149150387	1.017900727
60	0.3972166095	0.4886986353	0.8692519414	0.7964221741
61	0.283133333	0.3698457964	0.6391935766	0.611284014
62	0.1956050932	0.2833312219	0.4666525003	0.4694751216
63	0.1326459233	0.2240027638	0.3458226138	0.3679057218
64	0.08921126483	0.1856454904	0.2660243487	0.2996286092
65	0.05996638621	0.1633326623	0.2174262717	0.2580968265
66	0.04047411148	0.1533471505	0.1915853069	0.2374560637
67	0.02747467055	0.1532576161	0.1830546132	0.2337547101
68	0.01876280369	0.1606431289	0.1875624453	0.2431136862
69	0.04205473604	0.1718575272	0.2003286631	0.2599547841
70	0.0001511758747	0.1816372391	0.2149261745	0.2761933084
71	0.0000000817366138	0.1829884403	0.2217161832	0.2804576263
72	0	0.17237393	0.2141566309	0.2662813985
73	0	0.1517633847	0.1924756994	0.2358366333
74	0	0.1268656685	0.1630449329	0.1977899025
75	0	0.1039057289	0.1343429215	0.1621754403
76	0	0.08567132681	0.110750778	0.1336763945
77	0	0.07267696603	0.09352960516	0.1133054574
78	0	0.06404380443	0.08180609756	0.09975788952
79	0	0.05829984513	0.07377534087	0.09073579504
80	0	0.05422485279	0.06791438788	0.08432404157
81	0	0.0506470262	0.06277459754	0.07867819402
82	0	0.04689013496	0.05754695651	0.07274007959
83	0	0.04276549299	0.05202017559	0.0662236367
84	0	0.03838779918	0.04633471525	0.05932027892
85	0	0.0341251432	0.04090941267	0.05261447953
86	0	0.0302386986	0.0360259772	0.04651569768
87	0	0.02687384626	0.03182697586	0.04124655082
88	0	0.02404204506	0.02830376386	0.03681881471
89	0	0.02164254864	0.02532545219	0.03307001513
90	0	0.0195697517	0.02276111592	0.02983240269
91	0	0.01771317354	0.02047950456	0.02693305196
92	0	0.01600364846	0.01839840426	0.02426494893
93	0	0.01441472894	0.01648438322	0.02178834328
94	0	0.01293942632	0.01472571041	0.01949346562
95	0	0.01158927374	0.01313071099	0.01739853186
96	0	0.01037030608	0.01170168339	0.01551242929
97	0	0.009281730409	0.01043368367	0.01383288206
98	0	0.008315871428	0.009314820269	0.01234684834
99	0	0.007457776175	0.008325948716	0.01103020114
100	0	0.06336205634	0.07016046089	0.08933955023
