language_region	language_dist
satsuma	satsuma/1
osumi	osumi/1
hyuga	hyuga/1
higo	higo/1
bungo	bungo/1
chikugo	chikugo/1
hizen	hizen/1
chikuzen	chikuzen/1
buzen	buzen/1
iki	iki/1
tsushima	tsushima/1
nagato	nagato/1
suo	suo/1
aki	aki/1
bingo	bingo/1
bitchu	bitchu/1
mimasaka	mimasaka/1
bizen	bizen/1
harima	harima/1
iwami	iwami/1
izumo	izumo/1
hoki	hoki/1
oki	oki/1
inaba	inaba/1
tajima	tajima/1
tango	tango/1
tanba	tanba/1
iyo	iyo/1
tosa	tosa/1
awa	awa/1
sanuki	sanuki/1
awaji	awaji/1
kii	kii/1
yamato	yamato/1
kawachi	kawachi/1
yamashiro	yamashiro/1
izumi	izumi/1
settsu	settsu/1
wakasa	wakasa/1
echizen	echizen/1
kaga	kaga/1
etchu	etchu/1
noto	noto/1
echigo	echigo/1
sado	sado/1
shima	shima/1
ise	ise/1
iga	iga/1
owari	owari/1
mikawa	mikawa/1
totomi	totomi/1
suruga	suruga/1
izu	izu/1
kai	kai/1
sagami	sagami/1
musashi	musashi/1
shimosa	shimosa/1
kazusa	kazusa/1
awa1	awa1/1
hitachi	hitachi/1
omi	omi/1
mino	mino/1
hida	hida/1
shinano	shinano/1
kozuke	kozuke/1
shimotsuke	shimotsuke/1
fukushima	fukushima/1
yamagata	yamagata/1
akita	akita/1
miyagi	miyagi/1
iwate	iwate/1
aomori	aomori/1
toraijin_land	toraijin_land/1
donan	donan/1
dochu	dochu/1
dohoku	dohoku/1
doto	doto/1
habomai	habomai/1
shikotan	shikotan/1
kunashir	kunashir/1
iturup	iturup/1
osumi	osumi/1
tokara	tokara/1
amami	amami/1
okinawa	okinawa/1
daito	daito/1
sakishima	sakishima/1
north_izu	north_izu/1
south_izu	south_izu/1
ogasawara	ogasawara/1
