		20代まで初婚率	30代まで初婚率			平均μ	σ	分散σ^2	
		90.00%	97.03%			0	0.5	0.25	
		SUM($E$9:$E$368)	SUM($E$9:$E$488)				SQRT($I$2)		
		婚姻最小	婚姻最大	年齢乗算	生涯婚姻率	妊娠最小	妊娠最大	年齢乗算	
		13	60	0.1183	98.00%	14.17	49.08	0.1183	1550.82%
合計/SUM		1.0140635E+02	1.57E+03	98.00%		1.0120423E+02	8.63E+02	1550.82%	798.94%
		EXP(-1*POW(LN(D9-$G$2),2)/(2*$I$2))/(SQRT(2*PI())*$H$2*D9)	IF(OR($B9-C$5<=0,D$5-$B9<=0),1E-100,($B9-C$5)*E$5)			EXP(-1*POW(LN(H9-$G$2),2)/(2*$I$2))/(SQRT(2*PI())*$H$2*H9)	IF(OR($B9-G$5<=0,H$5-$B9<=0),1E-100,($B9-G$5)*I$5)		
番号	月齢	a	x1	初婚率	初婚率合計	b	x2	出産確率	合計特殊出生率
0	0.00	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
1	0.08	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
2	0.17	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
3	0.25	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
4	0.33	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
5	0.42	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
6	0.50	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
7	0.58	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
8	0.67	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
9	0.75	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
10	0.83	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
11	0.92	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
12	1.00	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
13	1.08	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
14	1.17	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
15	1.25	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
16	1.33	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
17	1.42	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
18	1.50	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
19	1.58	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
20	1.67	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
21	1.75	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
22	1.83	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
23	1.92	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
24	2.00	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
25	2.08	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
26	2.17	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
27	2.25	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
28	2.33	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
29	2.42	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
30	2.50	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
31	2.58	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
32	2.67	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
33	2.75	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
34	2.83	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
35	2.92	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
36	3.00	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
37	3.08	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
38	3.17	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
39	3.25	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
40	3.33	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
41	3.42	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
42	3.50	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
43	3.58	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
44	3.67	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
45	3.75	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
46	3.83	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
47	3.92	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
48	4.00	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
49	4.08	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
50	4.17	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
51	4.25	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
52	4.33	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
53	4.42	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
54	4.50	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
55	4.58	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
56	4.67	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
57	4.75	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
58	4.83	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
59	4.92	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
60	5.00	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
61	5.08	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
62	5.17	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
63	5.25	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
64	5.33	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
65	5.42	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
66	5.50	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
67	5.58	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
68	5.67	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
69	5.75	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
70	5.83	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
71	5.92	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
72	6.00	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
73	6.08	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
74	6.17	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
75	6.25	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
76	6.33	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
77	6.42	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
78	6.50	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
79	6.58	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
80	6.67	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
81	6.75	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
82	6.83	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
83	6.92	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
84	7.00	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
85	7.08	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
86	7.17	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
87	7.25	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
88	7.33	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
89	7.42	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
90	7.50	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
91	7.58	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
92	7.67	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
93	7.75	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
94	7.83	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
95	7.92	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
96	8.00	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
97	8.08	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
98	8.17	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
99	8.25	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
100	8.33	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
101	8.42	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
102	8.50	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
103	8.58	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
104	8.67	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
105	8.75	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
106	8.83	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
107	8.92	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
108	9.00	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
109	9.08	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
110	9.17	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
