Z	X	Y	String
3	0	0	-824034.625922 -1800000.000000 -824034.625922 -1350000.000000
3	0	1	-740110.355921 -1800000.000000 -740110.355921 -1350000.000000
3	0	2	-554635.662867 -1800000.000000 -554635.662867 -1350000.000000
3	0	3	-215634.963920 -1800000.000000 -215634.963920 -1350000.000000
3	0	4	215634.963920 -1800000.000000 215634.963920 -1350000.000000
3	0	5	554635.662867 -1800000.000000 554635.662867 -1350000.000000
3	0	6	740110.355921 -1800000.000000 740110.355921 -1350000.000000
3	0	7	824034.625922 -1800000.000000 824034.625922 -1350000.000000
3	1	0	-824034.625922 -1350000.000000 -824034.625922 -900000.000000
3	1	1	-740110.355921 -1350000.000000 -740110.355921 -900000.000000
3	1	2	-554635.662867 -1350000.000000 -554635.662867 -900000.000000
3	1	3	-215634.963920 -1350000.000000 -215634.963920 -900000.000000
3	1	4	215634.963920 -1350000.000000 215634.963920 -900000.000000
3	1	5	554635.662867 -1350000.000000 554635.662867 -900000.000000
3	1	6	740110.355921 -1350000.000000 740110.355921 -900000.000000
3	1	7	824034.625922 -1350000.000000 824034.625922 -900000.000000
3	2	0	-824034.625922 -900000.000000 -824034.625922 -450000.000000
3	2	1	-740110.355921 -900000.000000 -740110.355921 -450000.000000
3	2	2	-554635.662867 -900000.000000 -554635.662867 -450000.000000
3	2	3	-215634.963920 -900000.000000 -215634.963920 -450000.000000
3	2	4	215634.963920 -900000.000000 215634.963920 -450000.000000
3	2	5	554635.662867 -900000.000000 554635.662867 -450000.000000
3	2	6	740110.355921 -900000.000000 740110.355921 -450000.000000
3	2	7	824034.625922 -900000.000000 824034.625922 -450000.000000
3	3	0	-824034.625922 -450000.000000 -824034.625922 00000.000000
3	3	1	-740110.355921 -450000.000000 -740110.355921 00000.000000
3	3	2	-554635.662867 -450000.000000 -554635.662867 00000.000000
3	3	3	-215634.963920 -450000.000000 -215634.963920 00000.000000
3	3	4	215634.963920 -450000.000000 215634.963920 00000.000000
3	3	5	554635.662867 -450000.000000 554635.662867 00000.000000
3	3	6	740110.355921 -450000.000000 740110.355921 00000.000000
3	3	7	824034.625922 -450000.000000 824034.625922 00000.000000
3	4	0	-824034.625922 00000.000000 -824034.625922 450000.000000
3	4	1	-740110.355921 00000.000000 -740110.355921 450000.000000
3	4	2	-554635.662867 00000.000000 -554635.662867 450000.000000
3	4	3	-215634.963920 00000.000000 -215634.963920 450000.000000
3	4	4	215634.963920 00000.000000 215634.963920 450000.000000
3	4	5	554635.662867 00000.000000 554635.662867 450000.000000
3	4	6	740110.355921 00000.000000 740110.355921 450000.000000
3	4	7	824034.625922 00000.000000 824034.625922 450000.000000
3	5	0	-824034.625922 450000.000000 -824034.625922 900000.000000
3	5	1	-740110.355921 450000.000000 -740110.355921 900000.000000
3	5	2	-554635.662867 450000.000000 -554635.662867 900000.000000
3	5	3	-215634.963920 450000.000000 -215634.963920 900000.000000
3	5	4	215634.963920 450000.000000 215634.963920 900000.000000
3	5	5	554635.662867 450000.000000 554635.662867 900000.000000
3	5	6	740110.355921 450000.000000 740110.355921 900000.000000
3	5	7	824034.625922 450000.000000 824034.625922 900000.000000
3	6	0	-824034.625922 900000.000000 -824034.625922 1350000.000000
3	6	1	-740110.355921 900000.000000 -740110.355921 1350000.000000
3	6	2	-554635.662867 900000.000000 -554635.662867 1350000.000000
3	6	3	-215634.963920 900000.000000 -215634.963920 1350000.000000
3	6	4	215634.963920 900000.000000 215634.963920 1350000.000000
3	6	5	554635.662867 900000.000000 554635.662867 1350000.000000
3	6	6	740110.355921 900000.000000 740110.355921 1350000.000000
3	6	7	824034.625922 900000.000000 824034.625922 1350000.000000
3	7	0	-824034.625922 1350000.000000 -824034.625922 1800000.000000
3	7	1	-740110.355921 1350000.000000 -740110.355921 1800000.000000
3	7	2	-554635.662867 1350000.000000 -554635.662867 1800000.000000
3	7	3	-215634.963920 1350000.000000 -215634.963920 1800000.000000
3	7	4	215634.963920 1350000.000000 215634.963920 1800000.000000
3	7	5	554635.662867 1350000.000000 554635.662867 1800000.000000
3	7	6	740110.355921 1350000.000000 740110.355921 1800000.000000
3	7	7	824034.625922 1350000.000000 824034.625922 1800000.000000
