Z	X	Y	String
7	0	0	-845541.955346 -1800000.000000 -845541.955346 -1771115.000000
7	0	1	-844024.645238 -1800000.000000 -844024.645238 -1771115.000000
7	0	2	-842421.387749 -1800000.000000 -842421.387749 -1771115.000000
7	0	3	-840729.903498 -1800000.000000 -840729.903498 -1771115.000000
7	0	4	-834947.803526 -1800000.000000 -834947.803526 -1771115.000000
7	0	5	-833112.584581 -1800000.000000 -833112.584581 -1771115.000000
7	0	6	-831141.624292 -1800000.000000 -831141.624292 -1771115.000000
7	0	7	-825112.176250 -1800000.000000 -825112.176250 -1771115.000000
7	0	8	-822941.365002 -1800000.000000 -822941.365002 -1771115.000000
7	0	9	-820706.180985 -1800000.000000 -820706.180985 -1771115.000000
7	0	10	-814323.475426 -1800000.000000 -814323.475426 -1771115.000000
7	0	11	-811829.955242 -1800000.000000 -811829.955242 -1771115.000000
7	0	12	-805222.177974 -1800000.000000 -805222.177974 -1771115.000000
7	0	13	-802456.546801 -1800000.000000 -802456.546801 -1771115.000000
7	0	14	-795609.305687 -1800000.000000 -795609.305687 -1771115.000000
7	0	15	-792556.534733 -1800000.000000 -792556.534733 -1771115.000000
7	0	16	-785414.145799 -1800000.000000 -785414.145799 -1771115.000000
7	0	17	-782057.878485 -1800000.000000 -782057.878485 -1771115.000000
7	0	18	-774603.296578 -1800000.000000 -774603.296578 -1771115.000000
7	0	19	-770925.785082 -1800000.000000 -770925.785082 -1771115.000000
7	0	20	-763100.547958 -1800000.000000 -763100.547958 -1771115.000000
7	0	21	-755042.606745 -1800000.000000 -755042.606745 -1771115.000000
7	0	22	-750826.800227 -1800000.000000 -750826.800227 -1771115.000000
7	0	23	-742407.785354 -1800000.000000 -742407.785354 -1771115.000000
7	0	24	-733740.039656 -1800000.000000 -733740.039656 -1771115.000000
7	0	25	-724857.865388 -1800000.000000 -724857.865388 -1771115.000000
7	0	26	-715755.395717 -1800000.000000 -715755.395717 -1771115.000000
7	0	27	-710426.603268 -1800000.000000 -710426.603268 -1771115.000000
7	0	28	-700825.311379 -1800000.000000 -700825.311379 -1771115.000000
